UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636922235173942889;30.04.2019 14:18:37;763,6719;80
636922235173942889;30.04.2019 14:18:37;761,7188;80
636922235183935836;30.04.2019 14:18:38;741,2109;80
636922235193941842;30.04.2019 14:18:39;724,6094;80
636922235193941842;30.04.2019 14:18:39;717,7734;80
636922235203878432;30.04.2019 14:18:40;712,8906;80
636922235213877939;30.04.2019 14:18:41;701,1719;81
636922235213877939;30.04.2019 14:18:41;675,7813;81
636922235223942798;30.04.2019 14:18:42;684,5703;82
636922235233876352;30.04.2019 14:18:43;681,6406;82
636922235243879953;30.04.2019 14:18:44;702,1484;84
636922235243879953;30.04.2019 14:18:44;689,4531;84
636922235253943535;30.04.2019 14:18:45;713,8672;84
636922235263879360;30.04.2019 14:18:46;713,8672;84
636922235263879360;30.04.2019 14:18:46;710,9375;84
636922235273944344;30.04.2019 14:18:47;681,6406;84
636922235283880347;30.04.2019 14:18:48;649,4141;85
636922235283880347;30.04.2019 14:18:48;640,625;85
636922235293947716;30.04.2019 14:18:49;615,2344;87
636922235293947716;30.04.2019 14:18:49;598,6328;87
636922235303878970;30.04.2019 14:18:50;596,6797;89
636922235313946275;30.04.2019 14:18:51;589,8438;92
636922235313946275;30.04.2019 14:18:51;583,0078;92
636922235323880333;30.04.2019 14:18:52;592,7734;95
636922235323880333;30.04.2019 14:18:52;596,6797;95
636922235333948361;30.04.2019 14:18:53;609,375;96
636922235343880663;30.04.2019 14:18:54;637,6953;97
636922235343880663;30.04.2019 14:18:54;637,6953;97
636922235353880588;30.04.2019 14:18:55;640,625;96
636922235363946123;30.04.2019 14:18:56;688,4766;96
636922235373882707;30.04.2019 14:18:57;721,6797;93
636922235373882707;30.04.2019 14:18:57;771,4844;93
636922235383948921;30.04.2019 14:18:58;760,7422;91
636922235393883971;30.04.2019 14:18:59;749,0234;89
636922235403949813;30.04.2019 14:19:00;765,625;87
636922235403949813;30.04.2019 14:19:00;765,625;87
636922235413885636;30.04.2019 14:19:01;762,6953;85
636922235423884611;30.04.2019 14:19:02;748,0469;85
636922235433896483;30.04.2019 14:19:03;714,8438;84
636922235433896483;30.04.2019 14:19:03;719,7266;84
636922235443883716;30.04.2019 14:19:04;716,7969;84
636922235453948483;30.04.2019 14:19:05;724,6094;84
636922235463950539;30.04.2019 14:19:06;736,3281;83
636922235463950539;30.04.2019 14:19:06;716,7969;83
636922235473950628;30.04.2019 14:19:07;757,8125;83
636922235483950833;30.04.2019 14:19:08;768,5547;83
636922235493951592;30.04.2019 14:19:09;791,0156;82
636922235493951592;30.04.2019 14:19:09;785,1563;82
636922235503886101;30.04.2019 14:19:10;746,0938;81
636922235513883223;30.04.2019 14:19:11;755,8594;81
636922235523948724;30.04.2019 14:19:12;763,6719;81
636922235523948724;30.04.2019 14:19:12;786,1328;81
636922235533948356;30.04.2019 14:19:13;785,1563;80
636922235543886062;30.04.2019 14:19:14;746,0938;80
636922235553950558;30.04.2019 14:19:15;742,1875;80
636922235553950558;30.04.2019 14:19:15;739,2578;80
636922235563886323;30.04.2019 14:19:16;745,1172;80
636922235573950303;30.04.2019 14:19:17;748,0469;80
636922235583886442;30.04.2019 14:19:18;730,4688;80
636922235583886442;30.04.2019 14:19:18;752,9297;80
636922235593950273;30.04.2019 14:19:19;755,8594;80
636922235603887739;30.04.2019 14:19:20;762,6953;80
636922235613952958;30.04.2019 14:19:21;747,0703;80
