UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636928097043696879;07.05.2019 09:08:24;661,1328;90
636928097054019012;07.05.2019 09:08:25;667,9688;91
636928097054019012;07.05.2019 09:08:25;661,1328;91
636928097063553265;07.05.2019 09:08:26;646,4844;91
636928097073711954;07.05.2019 09:08:27;684,5703;91
636928097073711954;07.05.2019 09:08:27;686,5234;91
636928097083879340;07.05.2019 09:08:28;656,25;90
636928097094194372;07.05.2019 09:08:29;668,9453;90
636928097094194372;07.05.2019 09:08:29;689,4531;90
636928097103100858;07.05.2019 09:08:30;691,4063;90
636928097113416751;07.05.2019 09:08:31;647,4609;89
636928097113416751;07.05.2019 09:08:31;670,8984;89
636928097123570866;07.05.2019 09:08:32;657,2266;90
636928097133101115;07.05.2019 09:08:33;643,5547;90
636928097133101115;07.05.2019 09:08:33;626,9531;90
636928097143411908;07.05.2019 09:08:34;650,3906;91
636928097153567079;07.05.2019 09:08:35;626,9531;92
636928097153567079;07.05.2019 09:08:35;640,625;92
636928097163097300;07.05.2019 09:08:36;646,4844;92
636928097173406719;07.05.2019 09:08:37;637,6953;93
636928097173406719;07.05.2019 09:08:37;631,8359;93
636928097183561817;07.05.2019 09:08:38;634,7656;93
636928097183561817;07.05.2019 09:08:38;632,8125;93
636928097193092064;07.05.2019 09:08:39;614,2578;93
636928097203405048;07.05.2019 09:08:40;619,1406;94
636928097203405048;07.05.2019 09:08:40;611,3281;94
636928097213558889;07.05.2019 09:08:41;620,1172;95
636928097213558889;07.05.2019 09:08:41;633,7891;95
636928097223087878;07.05.2019 09:08:42;627,9297;95
636928097233398030;07.05.2019 09:08:43;635,7422;95
636928097233398030;07.05.2019 09:08:43;653,3203;95
636928097243554503;07.05.2019 09:08:44;684,5703;95
636928097253239804;07.05.2019 09:08:45;652,3438;94
636928097263393858;07.05.2019 09:08:46;672,8516;93
636928097263393858;07.05.2019 09:08:46;677,7344;93
636928097274173171;07.05.2019 09:08:47;684,5703;92
636928097289014528;07.05.2019 09:08:48;649,4141;91
636928097289014528;07.05.2019 09:08:48;674,8047;91
636928097304011897;07.05.2019 09:08:50;673,8281;91
636928097304011897;07.05.2019 09:08:50;679,6875;91
636928097304011897;07.05.2019 09:08:50;648,4375;91
636928097314014014;07.05.2019 09:08:51;677,7344;90
636928097329010458;07.05.2019 09:08:52;692,3828;90
636928097329010458;07.05.2019 09:08:52;710,9375;90
636928097339000758;07.05.2019 09:08:53;666,0156;89
636928097343999463;07.05.2019 09:08:54;691,4063;89
636928097343999463;07.05.2019 09:08:54;706,0547;89
636928097353997144;07.05.2019 09:08:55;726,5625;89
636928097363995534;07.05.2019 09:08:56;681,6406;88
636928097363995534;07.05.2019 09:08:56;697,2656;88
636928097373993165;07.05.2019 09:08:57;692,3828;87
636928097383992107;07.05.2019 09:08:58;686,5234;87
636928097393992412;07.05.2019 09:08:59;665,0391;87
636928097393992412;07.05.2019 09:08:59;689,4531;87
