UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636928154516574604;07.05.2019 10:44:11;633,7891;91
636928155422638759;07.05.2019 10:45:42;695,3125;75
636928155426232612;07.05.2019 10:45:42;711,9141;76
636928155435143273;07.05.2019 10:45:43;791,0156;77
636928155435143273;07.05.2019 10:45:43;812,5;77
636928155435143273;07.05.2019 10:45:43;722,6563;77
636928155504162981;07.05.2019 10:45:50;695,3125;77
636928155514941061;07.05.2019 10:45:51;684,5703;79
636928155514941061;07.05.2019 10:45:51;710,9375;79
636928155522132906;07.05.2019 10:45:52;763,6719;80
636928155522132906;07.05.2019 10:45:52;808,5938;80
636928155535423479;07.05.2019 10:45:53;738,2813;79
636928155535423479;07.05.2019 10:45:53;746,0938;79
636928155535423479;07.05.2019 10:45:53;761,7188;79
636928155535423479;07.05.2019 10:45:53;784,1797;79
636928155535423479;07.05.2019 10:45:53;788,0859;79
636928155535423479;07.05.2019 10:45:53;735,3516;79
636928155537142992;07.05.2019 10:45:53;718,75;79
636928155558238013;07.05.2019 10:45:55;702,1484;79
636928155558238013;07.05.2019 10:45:55;710,9375;80
636928155558238013;07.05.2019 10:45:55;730,4688;80
636928155558238013;07.05.2019 10:45:55;766,6016;81
636928155579736064;07.05.2019 10:45:57;720,7031;81
636928155579736064;07.05.2019 10:45:57;715,8203;81
636928155579736064;07.05.2019 10:45:57;724,6094;81
636928155581611606;07.05.2019 10:45:58;730,4688;81
636928155597723019;07.05.2019 10:45:59;724,6094;81
636928155597723019;07.05.2019 10:45:59;670,8984;81
636928155603817814;07.05.2019 10:46:00;650,3906;82
636928155606788951;07.05.2019 10:46:00;654,2969;83
636928155626018478;07.05.2019 10:46:02;691,4063;85
636928155626018478;07.05.2019 10:46:02;828,125;85
636928155634924804;07.05.2019 10:46:03;890,625;84
636928155648199472;07.05.2019 10:46:04;813,4766;82
636928155648199472;07.05.2019 10:46:04;756,8359;81
636928155657198336;07.05.2019 10:46:05;782,2266;80
636928155657198336;07.05.2019 10:46:05;767,5781;80
636928155670403397;07.05.2019 10:46:07;814,4531;80
636928155730850975;07.05.2019 10:46:13;808,5938;80
636928156018969171;07.05.2019 10:46:41;739,2578;85
636928156031007076;07.05.2019 10:46:43;746,0938;85
636928156041172060;07.05.2019 10:46:44;775,3906;84
636928156047115890;07.05.2019 10:46:44;788,0859;83
636928156047115890;07.05.2019 10:46:44;826,1719;83
636928156066352610;07.05.2019 10:46:46;853,5156;82
636928156070571575;07.05.2019 10:46:47;860,3516;81
636928156078388368;07.05.2019 10:46:47;887,6953;80
636928156088549013;07.05.2019 10:46:48;896,4844;79
636928156100591160;07.05.2019 10:46:50;878,9063;77
636928156113880177;07.05.2019 10:46:51;847,6563;76
636928156113880177;07.05.2019 10:46:51;803,7109;76
636928156119824891;07.05.2019 10:46:51;838,8672;75
636928156127016075;07.05.2019 10:46:52;878,9063;75
636928156142026292;07.05.2019 10:46:54;817,3828;75
636928156149213855;07.05.2019 10:46:54;842,7734;74
636928156158130033;07.05.2019 10:46:55;906,25;74
636928156171425192;07.05.2019 10:46:57;925,7813;73
636928156171425192;07.05.2019 10:46:57;801,7578;73
636928156177365814;07.05.2019 10:46:57;860,3516;72
636928156187526844;07.05.2019 10:46:58;910,1563;72
636928156199568933;07.05.2019 10:46:59;880,8594;72
636928156208645152;07.05.2019 10:47:00;800,7813;71
636928156218808756;07.05.2019 10:47:01;884,7656;71
636928156231943967;07.05.2019 10:47:03;939,4531;71
636928156238044340;07.05.2019 10:47:03;931,6406;70
636928156238044340;07.05.2019 10:47:03;814,4531;70
636928156247064167;07.05.2019 10:47:04;865,2344;70
636928156264426677;07.05.2019 10:47:06;895,5078;70
636928156269120186;07.05.2019 10:47:06;898,4375;70
636928156285225659;07.05.2019 10:47:08;768,5547;70
636928156300230204;07.05.2019 10:47:10;789,0625;70
636928156360949867;07.05.2019 10:47:16;820,3125;71
636928156360949867;07.05.2019 10:47:16;923,8281;71
636928156502024901;07.05.2019 10:47:30;739,2578;75
636928156514617272;07.05.2019 10:47:31;754,8828;75
636928156519425676;07.05.2019 10:47:31;747,0703;76
