UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636936736693710277;17.05.2019 09:07:49;931,6406;71
636936736703864137;17.05.2019 09:07:50;954,1016;70
636936736713862101;17.05.2019 09:07:51;925,7813;69
636936736713862101;17.05.2019 09:07:51;907,2266;69
636936736723860031;17.05.2019 09:07:52;941,4063;68
636936736733701198;17.05.2019 09:07:53;902,3438;68
636936736743698862;17.05.2019 09:07:54;827,1484;68
636936736753853000;17.05.2019 09:07:55;853,5156;68
636936736763694404;17.05.2019 09:07:56;844,7266;68
636936736773848290;17.05.2019 09:07:57;834,9609;69
636936736773848290;17.05.2019 09:07:57;903,3203;69
636936736783689769;17.05.2019 09:07:58;875;69
636936736793843591;17.05.2019 09:07:59;932,6172;69
636936736803684813;17.05.2019 09:08:00;845,7031;68
636936736813838964;17.05.2019 09:08:01;884,7656;68
636936736823836340;17.05.2019 09:08:02;916,0156;68
636936736833834268;17.05.2019 09:08:03;852,5391;68
636936736833834268;17.05.2019 09:08:03;796,875;68
636936736843831930;17.05.2019 09:08:04;827,1484;69
636936736853673387;17.05.2019 09:08:05;786,1328;69
636936736863827250;17.05.2019 09:08:06;692,3828;70
636936736873668422;17.05.2019 09:08:07;711,9141;71
636936736883822579;17.05.2019 09:08:08;968,75;72
636936736883822579;17.05.2019 09:08:08;900,3906;72
636936736893820174;17.05.2019 09:08:09;891,6016;72
636936736903817877;17.05.2019 09:08:10;879,8828;71
636936736913815544;17.05.2019 09:08:11;874,0234;71
636936736923813209;17.05.2019 09:08:12;811,5234;71
636936736933810812;17.05.2019 09:08:13;810,5469;71
636936736933810812;17.05.2019 09:08:13;825,1953;71
636936736943808549;17.05.2019 09:08:14;862,3047;71
636936736953805911;17.05.2019 09:08:15;882,8125;71
636936736963803842;17.05.2019 09:08:16;866,2109;71
636936736973801448;17.05.2019 09:08:17;893,5547;71
636936736983799104;17.05.2019 09:08:18;894,5313;70
636936736993796538;17.05.2019 09:08:19;904,2969;70
636936737003794200;17.05.2019 09:08:20;880,8594;70
636936737013792083;17.05.2019 09:08:21;900,3906;69
636936737013792083;17.05.2019 09:08:21;904,2969;69
636936737023789717;17.05.2019 09:08:22;875,9766;69
636936737033787459;17.05.2019 09:08:23;870,1172;69
636936737043785065;17.05.2019 09:08:24;898,4375;69
636936737053782719;17.05.2019 09:08:25;880,8594;69
636936737063780153;17.05.2019 09:08:26;852,5391;69
636936737073777818;17.05.2019 09:08:27;891,6016;69
636936737083775709;17.05.2019 09:08:28;919,9219;69
636936737093773443;17.05.2019 09:08:29;898,4375;68
636936737103771069;17.05.2019 09:08:30;958,9844;68
636936737113768450;17.05.2019 09:08:31;955,0781;67
636936737113768450;17.05.2019 09:08:31;921,875;67
636936737123766841;17.05.2019 09:08:32;933,5938;67
636936737133764802;17.05.2019 09:08:33;912,1094;67
636936737143762460;17.05.2019 09:08:34;861,3281;67
636936737153761006;17.05.2019 09:08:35;863,2813;67
636936737163757787;17.05.2019 09:08:36;863,2813;67
636936737173755545;17.05.2019 09:08:37;819,3359;67
636936737183753293;17.05.2019 09:08:38;879,8828;68
636936737193750760;17.05.2019 09:08:39;931,6406;68
636936737203748483;17.05.2019 09:08:40;884,7656;68
636936737203748483;17.05.2019 09:08:40;937,5;68
636936737213746089;17.05.2019 09:08:41;954,1016;67
636936737223745906;17.05.2019 09:08:42;901,3672;67
636936737233742753;17.05.2019 09:08:43;973,6328;67
636936737243740193;17.05.2019 09:08:44;961,9141;67
636936737263735522;17.05.2019 09:08:46;933,5938;66
636936737273733453;17.05.2019 09:08:47;959,9609;66
636936737273889624;17.05.2019 09:08:47;949,2188;66
636936737283731051;17.05.2019 09:08:48;916,9922;65
636936737293728804;17.05.2019 09:08:49;949,2188;65
636936737303882359;17.05.2019 09:08:50;966,7969;65
636936737313880245;17.05.2019 09:08:51;914,0625;65
636936737323721786;17.05.2019 09:08:52;898,4375;65
636936737323721786;17.05.2019 09:08:52;860,3516;65
636936737333719453;17.05.2019 09:08:53;822,2656;65
636936737343873230;17.05.2019 09:08:54;868,1641;66
