UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636936967815521338;17.05.2019 15:33:01;742,1875;82
636936967825680679;17.05.2019 15:33:02;739,2578;82
636936967825680679;17.05.2019 15:33:02;740,2344;82
636936967835835764;17.05.2019 15:33:03;746,0938;82
636936967835835764;17.05.2019 15:33:03;733,3984;82
636936967845371564;17.05.2019 15:33:04;405,2734;82
636936967855688818;17.05.2019 15:33:05;308,5938;81
636936967855688818;17.05.2019 15:33:05;721,6797;81
636936967865844815;17.05.2019 15:33:06;725,5859;81
636936967875375116;17.05.2019 15:33:07;727,5391;81
636936967875375116;17.05.2019 15:33:07;725,5859;81
636936967885695113;17.05.2019 15:33:08;730,4688;82
636936967895849085;17.05.2019 15:33:09;705,0781;82
636936967905534224;17.05.2019 15:33:10;708,0078;82
636936967905534224;17.05.2019 15:33:10;689,4531;82
636936967915687441;17.05.2019 15:33:11;671,875;83
636936967915687441;17.05.2019 15:33:11;654,2969;83
636936967925842504;17.05.2019 15:33:12;621,0938;84
636936967935372780;17.05.2019 15:33:13;609,375;87
636936967935372780;17.05.2019 15:33:13;605,4688;87
636936967945683565;17.05.2019 15:33:14;604,4922;89
636936967955840116;17.05.2019 15:33:15;626,9531;91
636936967955840116;17.05.2019 15:33:15;676,7578;91
636936967965527186;17.05.2019 15:33:16;666,0156;91
636936967975685843;17.05.2019 15:33:17;714,8438;90
636936967975685843;17.05.2019 15:33:17;732,4219;90
636936967985855756;17.05.2019 15:33:18;720,7031;89
636936967995393812;17.05.2019 15:33:19;667,9688;88
636936968005708772;17.05.2019 15:33:20;708,0078;88
636936968005708772;17.05.2019 15:33:20;683,5938;88
636936968015876743;17.05.2019 15:33:21;665,0391;88
636936968015876743;17.05.2019 15:33:21;652,3438;88
636936968025410521;17.05.2019 15:33:22;618,1641;88
636936968035725121;17.05.2019 15:33:23;604,4922;91
636936968035725121;17.05.2019 15:33:23;608,3984;91
636936968045893087;17.05.2019 15:33:24;635,7422;92
636936968055428804;17.05.2019 15:33:25;638,6719;93
636936968055428804;17.05.2019 15:33:25;667,9688;93
636936968065597742;17.05.2019 15:33:26;724,6094;93
636936968078277368;17.05.2019 15:33:27;750,9766;92
636936968088288594;17.05.2019 15:33:28;768,5547;90
636936968098299687;17.05.2019 15:33:29;754,8828;87
636936968098299687;17.05.2019 15:33:29;776,3672;87
636936968108309858;17.05.2019 15:33:30;787,1094;86
636936968118316954;17.05.2019 15:33:31;731,4453;84
636936968118316954;17.05.2019 15:33:31;744,1406;84
636936968128328368;17.05.2019 15:33:32;724,6094;84
636936968138341999;17.05.2019 15:33:33;706,0547;83
636936968148195456;17.05.2019 15:33:34;688,4766;84
636936968148195456;17.05.2019 15:33:34;695,3125;84
636936968158368979;17.05.2019 15:33:35;702,1484;84
636936968168216449;17.05.2019 15:33:36;727,5391;84
636936968178379721;17.05.2019 15:33:37;720,7031;84
636936968178379721;17.05.2019 15:33:37;756,8359;84
636936968188230218;17.05.2019 15:33:38;791,0156;84
636936968198229570;17.05.2019 15:33:39;796,875;83
636936968208391219;17.05.2019 15:33:40;750;82
636936968208391219;17.05.2019 15:33:40;753,9063;82
636936968218237220;17.05.2019 15:33:41;736,3281;81
636936968228242364;17.05.2019 15:33:42;695,3125;82
636936968228242364;17.05.2019 15:33:42;700,1953;82
636936968238397242;17.05.2019 15:33:43;681,6406;82
636936968248395169;17.05.2019 15:33:44;687,5;83
636936968248395169;17.05.2019 15:33:44;668,9453;83
636936968258245085;17.05.2019 15:33:45;687,5;84
636936968268247892;17.05.2019 15:33:46;686,5234;85
636936968268247892;17.05.2019 15:33:46;695,3125;85
636936968278253560;17.05.2019 15:33:47;682,6172;85
636936968288258780;17.05.2019 15:33:48;694,3359;85
636936968298262567;17.05.2019 15:33:49;708,9844;86
636936968298262567;17.05.2019 15:33:49;690,4297;86
636936968308267369;17.05.2019 15:33:50;697,2656;86
636936968318277401;17.05.2019 15:33:51;699,2188;86
636936968318277401;17.05.2019 15:33:51;697,2656;86
636936968333283578;17.05.2019 15:33:53;666,9922;86
636936968338283011;17.05.2019 15:33:53;681,6406;86
636936968338283011;17.05.2019 15:33:53;672,8516;86
636936968348292462;17.05.2019 15:33:54;669,9219;87
636936968358298632;17.05.2019 15:33:55;680,6641;87
636936968358298632;17.05.2019 15:33:55;694,3359;87
636936968368297515;17.05.2019 15:33:56;714,8438;87
636936968378308603;17.05.2019 15:33:57;695,3125;87
636936968388311146;17.05.2019 15:33:58;712,8906;87
636936968388311146;17.05.2019 15:33:58;704,1016;87
636936968398313593;17.05.2019 15:33:59;685,5469;86
636936968408321592;17.05.2019 15:34:00;678,7109;87
636936968408321592;17.05.2019 15:34:00;676,7578;87
636936968418327146;17.05.2019 15:34:01;677,7344;87
636936968428326088;17.05.2019 15:34:02;680,6641;87
636936968428326088;17.05.2019 15:34:02;689,4531;87
636936968438335433;17.05.2019 15:34:03;713,8672;87
636936968448185959;17.05.2019 15:34:04;752,9297;87
636936968468214423;17.05.2019 15:34:06;775,3906;85
636936968468214423;17.05.2019 15:34:06;746,0938;85
636936968468214423;17.05.2019 15:34:06;765,625;84
636936968478384824;17.05.2019 15:34:07;761,7188;84
636936968488392152;17.05.2019 15:34:08;698,2422;83
636936968488392152;17.05.2019 15:34:08;714,8438;83
636936968498249468;17.05.2019 15:34:09;699,2188;83
636936968508263681;17.05.2019 15:34:10;695,3125;84
636936968508263681;17.05.2019 15:34:10;693,3594;84
636936968518273700;17.05.2019 15:34:11;708,0078;84
636936968528277988;17.05.2019 15:34:12;728,5156;84
636936968538294055;17.05.2019 15:34:13;749,0234;84
636936968538294055;17.05.2019 15:34:13;721,6797;84
636936968548307561;17.05.2019 15:34:14;753,9063;84
636936968558327221;17.05.2019 15:34:15;763,6719;83
636936968568333954;17.05.2019 15:34:16;758,7891;82
636936968568333954;17.05.2019 15:34:16;704,1016;82
636936968578333159;17.05.2019 15:34:17;711,9141;82
636936968588339093;17.05.2019 15:34:18;692,3828;83
636936968588339093;17.05.2019 15:34:18;678,7109;83
636936968598340537;17.05.2019 15:34:19;676,7578;83
636936968608198432;17.05.2019 15:34:20;673,8281;85
636936968608198432;17.05.2019 15:34:20;692,3828;85
636936968618206527;17.05.2019 15:34:21;700,1953;85
636936968628366123;17.05.2019 15:34:22;697,2656;85
636936968628366123;17.05.2019 15:34:22;710,9375;85
636936968638216715;17.05.2019 15:34:23;722,6563;85
636936968648225234;17.05.2019 15:34:24;695,3125;85
636936968658397128;17.05.2019 15:34:25;705,0781;85
636936968658397128;17.05.2019 15:34:25;695,3125;85
636936968668258905;17.05.2019 15:34:26;690,4297;85
636936968678265745;17.05.2019 15:34:27;663,0859;86
636936968678265745;17.05.2019 15:34:27;670,8984;86
636936968688275675;17.05.2019 15:34:28;659,1797;86
636936968698285089;17.05.2019 15:34:29;675,7813;87
636936968698285089;17.05.2019 15:34:29;680,6641;87
636936968708302391;17.05.2019 15:34:30;682,6172;87
636936968718313723;17.05.2019 15:34:31;698,2422;87
636936968718313723;17.05.2019 15:34:31;708,0078;87
636936968728312363;17.05.2019 15:34:32;710,9375;87
636936968738311437;17.05.2019 15:34:33;696,2891;87
636936968738311437;17.05.2019 15:34:33;707,0313;87
636936968748317710;17.05.2019 15:34:34;701,1719;86
636936968758333087;17.05.2019 15:34:35;674,8047;86
636936968758333087;17.05.2019 15:34:35;685,5469;86
636936968768189508;17.05.2019 15:34:36;674,8047;87
636936968778344950;17.05.2019 15:34:37;667,9688;87
636936968778344950;17.05.2019 15:34:37;623,0469;87
636936968788192918;17.05.2019 15:34:38;635,7422;88
636936968798353345;17.05.2019 15:34:39;639,6484;90
636936968798353345;17.05.2019 15:34:39;693,3594;90
636936968808361881;17.05.2019 15:34:40;687,5;90
636936968818368032;17.05.2019 15:34:41;687,5;89
636936968818368032;17.05.2019 15:34:41;675,7813;89
636936968828374091;17.05.2019 15:34:42;660,1563;89
636936968838219884;17.05.2019 15:34:43;664,0625;89
636936968838219884;17.05.2019 15:34:43;663,0859;89
636936968848226378;17.05.2019 15:34:44;658,2031;89
636936968858232108;17.05.2019 15:34:45;653,3203;90
636936968858232108;17.05.2019 15:34:45;653,3203;90
636936968868400190;17.05.2019 15:34:46;649,4141;90
636936968878245908;17.05.2019 15:34:47;624,0234;91
636936968878245908;17.05.2019 15:34:47;630,8594;91
636936968888405404;17.05.2019 15:34:48;626,9531;92
636936968898252848;17.05.2019 15:34:49;618,1641;93
636936968898252848;17.05.2019 15:34:49;622,0703;93
636936968908262398;17.05.2019 15:34:50;622,0703;94
