UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636936992625966072;17.05.2019 16:14:22;721,6797;82
636936992635658921;17.05.2019 16:14:23;763,6719;82
636936992645819681;17.05.2019 16:14:24;817,3828;81
636936992645819681;17.05.2019 16:14:24;828,125;81
636936992655974912;17.05.2019 16:14:25;793,9453;80
636936992665676143;17.05.2019 16:14:26;782,2266;79
636936992675830048;17.05.2019 16:14:27;805,6641;79
636936992675830048;17.05.2019 16:14:27;804,6875;79
636936992685994847;17.05.2019 16:14:28;775,3906;78
636936992695685427;17.05.2019 16:14:29;813,4766;78
636936992705839243;17.05.2019 16:14:30;830,0781;78
636936992715995636;17.05.2019 16:14:31;784,1797;77
636936992725680124;17.05.2019 16:14:32;817,3828;77
636936992725680124;17.05.2019 16:14:32;823,2422;77
636936992735834057;17.05.2019 16:14:33;769,5313;77
636936992746614821;17.05.2019 16:14:34;771,4844;76
636936992755675636;17.05.2019 16:14:35;761,7188;77
636936992755675636;17.05.2019 16:14:35;750;77
636936992765830524;17.05.2019 16:14:36;744,1406;77
636936992775986344;17.05.2019 16:14:37;786,1328;77
636936992785679459;17.05.2019 16:14:38;829,1016;77
636936992795837210;17.05.2019 16:14:39;847,6563;77
636936992795837210;17.05.2019 16:14:39;829,1016;77
636936992805991054;17.05.2019 16:14:40;780,2734;76
636936992815680385;17.05.2019 16:14:41;773,4375;76
636936992825833323;17.05.2019 16:14:42;763,6719;76
636936992825833323;17.05.2019 16:14:42;715,8203;76
636936992835987419;17.05.2019 16:14:43;743,1641;77
636936992845673361;17.05.2019 16:14:44;749,0234;77
636936992855827236;17.05.2019 16:14:45;745,1172;78
636936992855827236;17.05.2019 16:14:45;705,0781;78
636936992865981105;17.05.2019 16:14:46;695,3125;78
636936992878791155;17.05.2019 16:14:47;750,9766;79
636936992888950798;17.05.2019 16:14:48;757,8125;79
636936992888950798;17.05.2019 16:14:48;793,9453;79
636936992898949257;17.05.2019 16:14:49;805,6641;79
636936992908948213;17.05.2019 16:14:50;790,0391;79
636936992918790318;17.05.2019 16:14:51;787,1094;78
636936992928789556;17.05.2019 16:14:52;819,3359;78
636936992938788681;17.05.2019 16:14:53;855,4688;77
636936992938788681;17.05.2019 16:14:53;874,0234;77
636936992948788058;17.05.2019 16:14:54;864,2578;77
636936992958787994;17.05.2019 16:14:55;819,3359;76
636936992968942566;17.05.2019 16:14:56;827,1484;75
636936992978791216;17.05.2019 16:14:57;830,0781;75
636936992988790958;17.05.2019 16:14:58;842,7734;75
636936992998789889;17.05.2019 16:14:59;823,2422;74
636936992998789889;17.05.2019 16:14:59;875,9766;74
636936993008945207;17.05.2019 16:15:00;874,0234;74
636936993028785395;17.05.2019 16:15:02;848,6328;73
636936993028940921;17.05.2019 16:15:02;790,0391;73
636936993038782342;17.05.2019 16:15:03;799,8047;73
636936993038782342;17.05.2019 16:15:03;823,2422;73
636936993048941178;17.05.2019 16:15:04;845,7031;73
