UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636929929714282012;09.05.2019 12:02:51;653,3203;92
636929929724282691;09.05.2019 12:02:52;651,3672;93
636929929724282691;09.05.2019 12:02:52;632,8125;93
636929929724282691;09.05.2019 12:02:52;625,9766;93
636929929724282691;09.05.2019 12:02:52;599,6094;93
636929929724282691;09.05.2019 12:02:52;624,0234;94
636929929739289807;09.05.2019 12:02:53;641,6016;94
636929929739289807;09.05.2019 12:02:53;662,1094;94
636929929764907707;09.05.2019 12:02:56;674,8047;94
636929929764907707;09.05.2019 12:02:56;624,0234;93
636929929764907707;09.05.2019 12:02:56;668,9453;93
636929929779281093;09.05.2019 12:02:57;684,5703;93
636929929779281093;09.05.2019 12:02:57;684,5703;92
636929929779281093;09.05.2019 12:02:57;658,2031;92
636929929779281093;09.05.2019 12:02:57;625,9766;92
636929929779281093;09.05.2019 12:02:57;608,3984;92
636929929804909729;09.05.2019 12:03:00;614,2578;93
636929929804909729;09.05.2019 12:03:00;611,3281;94
636929929804909729;09.05.2019 12:03:00;587,8906;94
636929929834914439;09.05.2019 12:03:03;583,9844;96
636929929834914439;09.05.2019 12:03:03;601,5625;96
636929929844287517;09.05.2019 12:03:04;586,9141;97
636929929859285969;09.05.2019 12:03:05;609,375;98
636929929859285969;09.05.2019 12:03:05;564,4531;98
636929929874287553;09.05.2019 12:03:07;602,5391;99
636929929874287553;09.05.2019 12:03:07;647,4609;99
636929929874287553;09.05.2019 12:03:07;617,1875;99
636929929884287805;09.05.2019 12:03:08;616,2109;98
636929929899286931;09.05.2019 12:03:09;668,9453;97
636929929899286931;09.05.2019 12:03:09;699,2188;97
636929929899286931;09.05.2019 12:03:09;666,9922;93
636929929899286931;09.05.2019 12:03:09;663,0859;93
636929929899286931;09.05.2019 12:03:09;644,5313;93
636929929909287225;09.05.2019 12:03:10;658,2031;93
636929929924287101;09.05.2019 12:03:12;664,0625;93
636929929924287101;09.05.2019 12:03:12;665,0391;93
636929929939286108;09.05.2019 12:03:13;665,0391;92
636929929939286108;09.05.2019 12:03:13;642,5781;92
636929929939286108;09.05.2019 12:03:13;625,9766;92
636929929949287130;09.05.2019 12:03:14;662,1094;92
636929929949287130;09.05.2019 12:03:14;681,6406;92
636929929949287130;09.05.2019 12:03:14;661,1328;92
636929929964288938;09.05.2019 12:03:16;647,4609;92
636929929964288938;09.05.2019 12:03:16;651,3672;92
636929929979291488;09.05.2019 12:03:17;667,9688;92
636929929989296977;09.05.2019 12:03:18;666,0156;91
636929929989296977;09.05.2019 12:03:18;664,0625;91
636929930004296765;09.05.2019 12:03:20;646,4844;91
636929930029270108;09.05.2019 12:03:22;645,5078;91
636929930029270108;09.05.2019 12:03:22;660,1563;91
636929930044269264;09.05.2019 12:03:24;629,8828;92
636929930044269264;09.05.2019 12:03:24;618,1641;92
636929930044269264;09.05.2019 12:03:24;585,9375;92
