UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636922261789521091;30.04.2019 15:02:58;906,25;72
636922261799454091;30.04.2019 15:02:59;841,7969;72
636922261809449273;30.04.2019 15:03:00;844,7266;71
636922261819521848;30.04.2019 15:03:01;891,6016;71
636922261829521584;30.04.2019 15:03:02;909,1797;71
636922261839522501;30.04.2019 15:03:03;869,1406;71
636922261849459158;30.04.2019 15:03:04;803,7109;70
636922261849459158;30.04.2019 15:03:04;861,3281;70
636922261859521357;30.04.2019 15:03:05;878,9063;71
636922261869456424;30.04.2019 15:03:06;850,5859;70
636922261879525422;30.04.2019 15:03:07;767,5781;71
636922261879525422;30.04.2019 15:03:07;764,6484;71
636922261889459441;30.04.2019 15:03:08;704,1016;72
636922261899456612;30.04.2019 15:03:09;643,5547;76
636922261899456612;30.04.2019 15:03:09;656,25;76
636922261909524435;30.04.2019 15:03:10;642,5781;80
636922261919526089;30.04.2019 15:03:11;627,9297;83
636922261919526089;30.04.2019 15:03:11;655,2734;83
636922261929524255;30.04.2019 15:03:12;731,4453;84
636922261939525494;30.04.2019 15:03:13;745,1172;84
636922261939525494;30.04.2019 15:03:13;691,4063;84
636922261949525707;30.04.2019 15:03:14;652,3438;84
636922261959460571;30.04.2019 15:03:15;629,8828;86
636922261959460571;30.04.2019 15:03:15;636,7188;86
636922261969460721;30.04.2019 15:03:16;664,0625;87
636922261979458961;30.04.2019 15:03:17;681,6406;88
636922261979458961;30.04.2019 15:03:17;670,8984;88
636922261989460577;30.04.2019 15:03:18;652,3438;88
636922261999462031;30.04.2019 15:03:19;668,9453;88
636922262009527242;30.04.2019 15:03:20;732,4219;88
636922262009527242;30.04.2019 15:03:20;800,7813;88
636922262019462045;30.04.2019 15:03:21;781,25;87
636922262029526934;30.04.2019 15:03:22;771,4844;85
636922262055079647;30.04.2019 15:03:25;743,1641;84
636922262055079647;30.04.2019 15:03:25;777,3438;83
636922262055079647;30.04.2019 15:03:25;805,6641;83
636922262059526776;30.04.2019 15:03:25;834,9609;82
636922262069528929;30.04.2019 15:03:26;791,0156;81
636922262079527721;30.04.2019 15:03:27;749,0234;80
636922262079527721;30.04.2019 15:03:27;767,5781;80
636922262089526375;30.04.2019 15:03:28;799,8047;80
636922262099461829;30.04.2019 15:03:29;788,0859;80
636922262109465300;30.04.2019 15:03:30;753,9063;79
636922262119462076;30.04.2019 15:03:31;752,9297;79
636922262129529414;30.04.2019 15:03:32;813,4766;79
636922262129529414;30.04.2019 15:03:32;880,8594;79
636922262139530941;30.04.2019 15:03:33;880,8594;78
636922262149463333;30.04.2019 15:03:34;833,0078;77
636922262159530220;30.04.2019 15:03:35;790,0391;76
636922262169463455;30.04.2019 15:03:36;838,8672;76
636922262179463336;30.04.2019 15:03:37;879,8828;75
636922262179463336;30.04.2019 15:03:37;867,1875;75
636922262189503016;30.04.2019 15:03:38;792,9688;75
636922262199530001;30.04.2019 15:03:39;855,4688;74
636922262209522208;30.04.2019 15:03:40;913,0859;74
636922262219528882;30.04.2019 15:03:41;897,4609;74
636922262229464134;30.04.2019 15:03:42;797,8516;73
636922262229464134;30.04.2019 15:03:42;770,5078;73
636922262239467223;30.04.2019 15:03:43;756,8359;73
636922262249464652;30.04.2019 15:03:44;761,7188;74
636922262259531436;30.04.2019 15:03:45;717,7734;75
636922262259531436;30.04.2019 15:03:45;741,2109;75
636922262269530007;30.04.2019 15:03:46;843,75;76
636922262279466251;30.04.2019 15:03:47;858,3984;76
636922262289531977;30.04.2019 15:03:48;803,7109;75
636922262299463394;30.04.2019 15:03:49;821,2891;75
636922262309532268;30.04.2019 15:03:50;869,1406;74
636922262309532268;30.04.2019 15:03:50;885,7422;74
636922262319468553;30.04.2019 15:03:51;832,0313;74
636922262329531481;30.04.2019 15:03:52;762,6953;73
636922262339468293;30.04.2019 15:03:53;767,5781;74
636922262349532880;30.04.2019 15:03:54;817,3828;74
636922262349532880;30.04.2019 15:03:54;901,3672;74
636922262359468578;30.04.2019 15:03:55;832,0313;74
636922262369466215;30.04.2019 15:03:56;774,4141;73
636922262379531309;30.04.2019 15:03:57;812,5;74
636922262389468869;30.04.2019 15:03:58;807,6172;74
636922262389468869;30.04.2019 15:03:58;750,9766;74
636922262399534426;30.04.2019 15:03:59;703,125;74
636922262409470739;30.04.2019 15:04:00;711,9141;75
636922262419534132;30.04.2019 15:04:01;738,2813;77
636922262419534132;30.04.2019 15:04:01;758,7891;77
636922262429469656;30.04.2019 15:04:02;737,3047;77
636922262439475383;30.04.2019 15:04:03;723,6328;77
636922262449469470;30.04.2019 15:04:04;738,2813;78
636922262449469470;30.04.2019 15:04:04;757,8125;78
636922262459470445;30.04.2019 15:04:05;775,3906;78
636922262469471953;30.04.2019 15:04:06;762,6953;78
636922262469471953;30.04.2019 15:04:06;719,7266;78
636922262479470695;30.04.2019 15:04:07;718,75;79
636922262489536102;30.04.2019 15:04:08;748,0469;79
636922262499537377;30.04.2019 15:04:09;777,3438;79
636922262509535944;30.04.2019 15:04:10;815,4297;79
636922262509535944;30.04.2019 15:04:10;761,7188;79
636922262519537169;30.04.2019 15:04:11;714,8438;79
636922262529472277;30.04.2019 15:04:12;699,2188;79
636922262539471922;30.04.2019 15:04:13;752,9297;80
636922262539471922;30.04.2019 15:04:13;793,9453;80
636922262549539288;30.04.2019 15:04:14;754,8828;80
636922262559538554;30.04.2019 15:04:15;752,9297;79
636922262569537257;30.04.2019 15:04:16;802,7344;79
636922262579474438;30.04.2019 15:04:17;873,0469;78
636922262579474438;30.04.2019 15:04:17;857,4219;78
636922262589538643;30.04.2019 15:04:18;768,5547;78
636922262609470382;30.04.2019 15:04:20;712,8906;77
636922262609543624;30.04.2019 15:04:20;746,0938;78
636922262619472252;30.04.2019 15:04:21;782,2266;78
636922262619472252;30.04.2019 15:04:21;829,1016;78
636922262629539053;30.04.2019 15:04:22;835,9375;78
636922262639538377;30.04.2019 15:04:23;752,9297;77
636922262649539820;30.04.2019 15:04:24;766,6016;77
636922262649539820;30.04.2019 15:04:24;788,0859;77
636922262659538030;30.04.2019 15:04:25;802,7344;77
636922262669475383;30.04.2019 15:04:26;757,8125;77
636922262679539050;30.04.2019 15:04:27;755,8594;77
636922262679539050;30.04.2019 15:04:27;768,5547;77
636922262689475125;30.04.2019 15:04:28;764,6484;77
636922262699539920;30.04.2019 15:04:29;756,8359;77
636922262709476879;30.04.2019 15:04:30;753,9063;78
636922262719542710;30.04.2019 15:04:31;798,8281;78
636922262729478042;30.04.2019 15:04:32;853,5156;77
636922262729478042;30.04.2019 15:04:32;911,1328;77
636922262739475485;30.04.2019 15:04:33;864,2578;76
636922262749475518;30.04.2019 15:04:34;847,6563;75
636922262759471493;30.04.2019 15:04:35;875,9766;75
636922262769515337;30.04.2019 15:04:36;882,8125;74
636922262779474931;30.04.2019 15:04:37;829,1016;73
636922262779474931;30.04.2019 15:04:37;805,6641;73
636922262789542657;30.04.2019 15:04:38;827,1484;73
636922262799542915;30.04.2019 15:04:39;805,6641;73
636922262809470540;30.04.2019 15:04:40;816,4063;73
636922262819543314;30.04.2019 15:04:41;784,1797;73
636922262829539341;30.04.2019 15:04:42;775,3906;74
636922262829539341;30.04.2019 15:04:42;817,3828;74
636922262839477893;30.04.2019 15:04:43;826,1719;74
636922262849536061;30.04.2019 15:04:44;836,9141;74
636922262859477463;30.04.2019 15:04:45;785,1563;74
636922262859477463;30.04.2019 15:04:45;769,5313;74
636922262869543112;30.04.2019 15:04:46;777,3438;74
636922262879478951;30.04.2019 15:04:47;813,4766;75
636922262889544450;30.04.2019 15:04:48;793,9453;75
636922262889544450;30.04.2019 15:04:48;728,5156;75
636922262899479793;30.04.2019 15:04:49;750;75
636922262909543934;30.04.2019 15:04:50;732,4219;76
636922262919479300;30.04.2019 15:04:51;729,4922;77
636922262919479300;30.04.2019 15:04:51;702,1484;77
636922262929543522;30.04.2019 15:04:52;697,2656;77
636922262939479563;30.04.2019 15:04:53;708,9844;78
636922262949481566;30.04.2019 15:04:54;750;79
636922262949481566;30.04.2019 15:04:54;776,3672;79
636922262959546464;30.04.2019 15:04:55;732,4219;79
636922262969482835;30.04.2019 15:04:56;703,125;79
636922262979545932;30.04.2019 15:04:57;754,8828;80
636922262979545932;30.04.2019 15:04:57;778,3203;80
636922262989481605;30.04.2019 15:04:58;809,5703;80
636922262999548076;30.04.2019 15:04:59;755,8594;79
636922263009482001;30.04.2019 15:05:00;738,2813;79
636922263019482938;30.04.2019 15:05:01;771,4844;79
636922263019482938;30.04.2019 15:05:01;838,8672;79
636922263029480835;30.04.2019 15:05:02;837,8906;79
636922263039480408;30.04.2019 15:05:03;789,0625;78
636922263049477031;30.04.2019 15:05:04;800,7813;78
636922263059481112;30.04.2019 15:05:05;849,6094;77
636922263059481112;30.04.2019 15:05:05;866,2109;77
636922263069551271;30.04.2019 15:05:06;815,4297;76
636922263079481309;30.04.2019 15:05:07;737,3047;76
636922263089478087;30.04.2019 15:05:08;764,6484;76
636922263099484528;30.04.2019 15:05:09;811,5234;76
636922263099484528;30.04.2019 15:05:09;822,2656;76
636922263109550559;30.04.2019 15:05:10;752,9297;76
636922263119550811;30.04.2019 15:05:11;709,9609;76
636922263129548376;30.04.2019 15:05:12;736,3281;77
636922263129548376;30.04.2019 15:05:12;771,4844;77
636922263139486855;30.04.2019 15:05:13;774,4141;78
