UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636921211689864453;29.04.2019 09:52:48;806,6406;79
636921211699468008;29.04.2019 09:52:49;876,9531;77
636921211699468008;29.04.2019 09:52:49;895,5078;77
636921211709667394;29.04.2019 09:52:50;862,3047;76
636921211719871083;29.04.2019 09:52:51;761,7188;75
636921211729465974;29.04.2019 09:52:52;827,1484;75
636921211729465974;29.04.2019 09:52:52;852,5391;75
636921211739671752;29.04.2019 09:52:53;800,7813;75
636921211749867720;29.04.2019 09:52:54;746,0938;75
636921211759528808;29.04.2019 09:52:55;761,7188;75
636921211759528808;29.04.2019 09:52:55;773,4375;75
636921211769663859;29.04.2019 09:52:56;704,1016;76
636921211779868831;29.04.2019 09:52:57;717,7734;76
636921211789466750;29.04.2019 09:52:58;708,9844;78
636921211789466750;29.04.2019 09:52:58;672,8516;78
636921211799669375;29.04.2019 09:52:59;655,2734;79
636921211809871856;29.04.2019 09:53:00;666,0156;80
636921211819471222;29.04.2019 09:53:01;742,1875;81
636921211819471222;29.04.2019 09:53:01;812,5;81
636921211829669849;29.04.2019 09:53:02;819,3359;81
636921211839873053;29.04.2019 09:53:03;707,0313;80
636921211839873053;29.04.2019 09:53:03;685,5469;80
636921211849469875;29.04.2019 09:53:04;648,4375;82
636921211849469875;29.04.2019 09:53:04;626,9531;82
636921211859675562;29.04.2019 09:53:05;628,9063;83
636921211869938483;29.04.2019 09:53:06;653,3203;84
636921211879537735;29.04.2019 09:53:07;700,1953;86
636921211889668201;29.04.2019 09:53:08;757,8125;86
636921211899876974;29.04.2019 09:53:09;870,1172;84
636921211899876974;29.04.2019 09:53:09;869,1406;84
636921211909469798;29.04.2019 09:53:10;870,1172;82
636921211919672678;29.04.2019 09:53:11;823,2422;81
636921211929868041;29.04.2019 09:53:12;800,7813;80
636921211939467202;29.04.2019 09:53:13;824,2188;79
636921211953475716;29.04.2019 09:53:15;843,75;78
636921211953475716;29.04.2019 09:53:15;793,9453;78
636921211963473333;29.04.2019 09:53:16;897,4609;78
636921211973473366;29.04.2019 09:53:17;935,5469;77
636921211983473062;29.04.2019 09:53:18;924,8047;76
636921211993541179;29.04.2019 09:53:19;954,1016;75
636921212003470992;29.04.2019 09:53:20;935,5469;74
636921212013536951;29.04.2019 09:53:21;901,3672;73
636921212023538782;29.04.2019 09:53:22;879,8828;72
636921212033478436;29.04.2019 09:53:23;769,5313;72
636921212033478436;29.04.2019 09:53:23;832,0313;72
636921212043472070;29.04.2019 09:53:24;895,5078;72
636921212053478841;29.04.2019 09:53:25;858,3984;72
636921212063538491;29.04.2019 09:53:26;885,7422;71
636921212073475311;29.04.2019 09:53:27;907,2266;71
636921212083541273;29.04.2019 09:53:28;835,9375;71
636921212093480861;29.04.2019 09:53:29;872,0703;71
636921212103542173;29.04.2019 09:53:30;895,5078;70
636921212103542173;29.04.2019 09:53:30;835,9375;70
636921212113478871;29.04.2019 09:53:31;854,4922;70
636921212123545401;29.04.2019 09:53:32;871,0938;70
636921212133540098;29.04.2019 09:53:33;818,3594;70
636921212148478316;29.04.2019 09:53:34;847,6563;70
636921212153548033;29.04.2019 09:53:35;904,2969;70
636921212163477938;29.04.2019 09:53:36;899,4141;70
636921212163477938;29.04.2019 09:53:36;859,375;70
636921212173547795;29.04.2019 09:53:37;891,6016;70
636921212183479888;29.04.2019 09:53:38;822,2656;70
636921212193478752;29.04.2019 09:53:39;788,0859;70
636921212193478752;29.04.2019 09:53:39;789,0625;70
636921212203479952;29.04.2019 09:53:40;743,1641;71
636921212213479700;29.04.2019 09:53:41;760,7422;72
636921212223479644;29.04.2019 09:53:42;816,4063;72
636921212233479140;29.04.2019 09:53:43;830,0781;73
636921212233479140;29.04.2019 09:53:43;819,3359;73
636921212243479171;29.04.2019 09:53:44;801,7578;73
636921212253478841;29.04.2019 09:53:45;732,4219;73
636921212263520726;29.04.2019 09:53:46;743,1641;74
636921212263520726;29.04.2019 09:53:46;743,1641;74
636921212273545584;29.04.2019 09:53:47;718,75;75
636921212283481545;29.04.2019 09:53:48;796,875;76
636921212293548183;29.04.2019 09:53:49;816,4063;76
636921212303479797;29.04.2019 09:53:50;786,1328;76
636921212313543836;29.04.2019 09:53:51;870,1172;76
636921212323482526;29.04.2019 09:53:52;880,8594;75
636921212323482526;29.04.2019 09:53:52;907,2266;75
636921212333485188;29.04.2019 09:53:53;871,0938;74
