UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636934358999154473;14.05.2019 15:04:59;782,2266;85
636934359008690396;14.05.2019 15:05:00;792,9688;84
636934359018854626;14.05.2019 15:05:01;721,6797;83
636934359018854626;14.05.2019 15:05:01;732,4219;83
636934359029181389;14.05.2019 15:05:02;741,2109;83
636934359038723604;14.05.2019 15:05:03;746,0938;83
636934359048882257;14.05.2019 15:05:04;742,1875;82
636934359048882257;14.05.2019 15:05:04;843,75;82
636934359059045410;14.05.2019 15:05:05;850,5859;82
636934359068733398;14.05.2019 15:05:06;789,0625;80
636934359078888915;14.05.2019 15:05:07;736,3281;80
636934359078888915;14.05.2019 15:05:07;740,2344;80
636934359089043687;14.05.2019 15:05:08;749,0234;80
636934359099354683;14.05.2019 15:05:09;697,2656;80
636934359108886294;14.05.2019 15:05:10;708,0078;81
636934359108886294;14.05.2019 15:05:10;688,4766;81
636934359119040786;14.05.2019 15:05:11;702,1484;82
636934359119040786;14.05.2019 15:05:11;655,2734;82
636934359128696081;14.05.2019 15:05:12;662,1094;83
636934359138868839;14.05.2019 15:05:13;655,2734;84
636934359138868839;14.05.2019 15:05:13;666,0156;84
636934359149181298;14.05.2019 15:05:14;677,7344;85
636934359158712929;14.05.2019 15:05:15;667,9688;86
636934359158712929;14.05.2019 15:05:15;644,5313;86
636934359168870169;14.05.2019 15:05:16;638,6719;87
636934359179181190;14.05.2019 15:05:17;648,4375;88
636934359179181190;14.05.2019 15:05:17;659,1797;88
636934359188710238;14.05.2019 15:05:18;665,0391;89
636934359198865445;14.05.2019 15:05:19;666,9922;89
636934359209177585;14.05.2019 15:05:20;719,7266;89
636934359218711474;14.05.2019 15:05:21;736,3281;88
636934359218711474;14.05.2019 15:05:21;818,3594;88
636934359228867850;14.05.2019 15:05:22;850,5859;87
636934359239178583;14.05.2019 15:05:23;832,0313;85
636934359248865886;14.05.2019 15:05:24;741,2109;82
636934359248865886;14.05.2019 15:05:24;730,4688;82
636934359259019763;14.05.2019 15:05:25;727,5391;82
636934359269017879;14.05.2019 15:05:26;701,1719;82
636934359278860289;14.05.2019 15:05:27;704,1016;83
636934359278860289;14.05.2019 15:05:27;737,3047;83
636934359289016433;14.05.2019 15:05:28;778,3203;83
636934359299018223;14.05.2019 15:05:29;734,375;82
636934359308860328;14.05.2019 15:05:30;739,2578;82
636934359308860328;14.05.2019 15:05:30;767,5781;82
636934359319016153;14.05.2019 15:05:31;776,3672;82
636934359329014549;14.05.2019 15:05:32;833,0078;81
636934359339012402;14.05.2019 15:05:33;830,0781;80
636934359339012402;14.05.2019 15:05:33;750,9766;80
636934359348867723;14.05.2019 15:05:34;741,2109;79
636934359359028030;14.05.2019 15:05:35;740,2344;79
636934359368875838;14.05.2019 15:05:36;734,375;80
636934359368875838;14.05.2019 15:05:36;701,1719;80
636934359379033450;14.05.2019 15:05:37;728,5156;80
636934359388875494;14.05.2019 15:05:38;776,3672;81
636934359399042606;14.05.2019 15:05:39;785,1563;80
636934359399042606;14.05.2019 15:05:39;740,2344;80
636934359409050059;14.05.2019 15:05:40;776,3672;80
636934359418896027;14.05.2019 15:05:41;788,0859;80
636934359429052655;14.05.2019 15:05:42;772,4609;79
636934359429052655;14.05.2019 15:05:42;715,8203;79
636934359438924844;14.05.2019 15:05:43;713,8672;79
636934359448936721;14.05.2019 15:05:44;722,6563;80
636934359448936721;14.05.2019 15:05:44;698,2422;80
636934359458937785;14.05.2019 15:05:45;701,1719;81
636934359468938090;14.05.2019 15:05:46;699,2188;81
636934359483936463;14.05.2019 15:05:48;705,0781;82
636934359483936463;14.05.2019 15:05:48;697,2656;82
636934359498935499;14.05.2019 15:05:49;751,9531;82
636934359498935499;14.05.2019 15:05:49;763,6719;83
636934359508937139;14.05.2019 15:05:50;748,0469;82
636934359508937139;14.05.2019 15:05:50;732,4219;82
636934359518941525;14.05.2019 15:05:51;741,2109;82
636934359528950233;14.05.2019 15:05:52;751,9531;82
636934359528950233;14.05.2019 15:05:52;698,2422;82
636934359538957320;14.05.2019 15:05:53;694,3359;82
636934359548972373;14.05.2019 15:05:54;698,2422;83
636934359548972373;14.05.2019 15:05:54;678,7109;83
636934359558976841;14.05.2019 15:05:55;680,6641;83
636934359568978357;14.05.2019 15:05:56;682,6172;84
636934359578988073;14.05.2019 15:05:57;704,1016;85
636934359578988073;14.05.2019 15:05:57;681,6406;85
636934359588995848;14.05.2019 15:05:58;725,5859;85
636934359599001657;14.05.2019 15:05:59;717,7734;85
636934359599001657;14.05.2019 15:05:59;706,0547;85
636934359609001840;14.05.2019 15:06:00;668,9453;85
636934359618999471;14.05.2019 15:06:01;672,8516;85
636934359618999471;14.05.2019 15:06:01;694,3359;85
636934359628997601;14.05.2019 15:06:02;694,3359;86
636934359638996172;14.05.2019 15:06:03;673,8281;86
636934359648994243;14.05.2019 15:06:04;682,6172;86
636934359648994243;14.05.2019 15:06:04;686,5234;86
636934359658992154;14.05.2019 15:06:05;780,2734;87
636934359668989816;14.05.2019 15:06:06;869,1406;86
636934359678993836;14.05.2019 15:06:07;753,9063;83
636934359678993836;14.05.2019 15:06:07;744,1406;83
636934359688999920;14.05.2019 15:06:08;772,4609;83
636934359699005049;14.05.2019 15:06:09;742,1875;82
636934359709008365;14.05.2019 15:06:10;746,0938;82
636934359709008365;14.05.2019 15:06:10;752,9297;82
636934359709008365;14.05.2019 15:06:10;724,6094;82
636934359719011318;14.05.2019 15:06:11;442,3828;81
636934359728855081;14.05.2019 15:06:12;309,5703;81
636934359738986525;14.05.2019 15:06:13;778,3203;80
636934359738986525;14.05.2019 15:06:13;796,875;80
636934359748989062;14.05.2019 15:06:14;780,2734;80
636934359758990337;14.05.2019 15:06:15;708,0078;79
636934359768991584;14.05.2019 15:06:16;722,6563;80
636934359768991584;14.05.2019 15:06:16;731,4453;80
636934359778990775;14.05.2019 15:06:17;739,2578;81
636934359788989719;14.05.2019 15:06:18;695,3125;81
636934359788989719;14.05.2019 15:06:18;692,3828;81
636934359798994900;14.05.2019 15:06:19;685,5469;82
636934359808997177;14.05.2019 15:06:20;729,4922;82
636934359818996227;14.05.2019 15:06:21;742,1875;82
636934359818996227;14.05.2019 15:06:21;697,2656;82
636934359828994612;14.05.2019 15:06:22;723,6328;82
636934359838992495;14.05.2019 15:06:23;718,75;83
636934359838992495;14.05.2019 15:06:23;692,3828;83
636934359848991409;14.05.2019 15:06:24;700,1953;83
636934359858991301;14.05.2019 15:06:25;702,1484;83
636934359868988871;14.05.2019 15:06:26;712,8906;84
636934359868988871;14.05.2019 15:06:26;734,375;84
636934359878985948;14.05.2019 15:06:27;692,3828;84
636934359888984771;14.05.2019 15:06:28;693,3594;84
636934359888984771;14.05.2019 15:06:28;699,2188;84
636934359898982499;14.05.2019 15:06:29;720,7031;84
636934359908980812;14.05.2019 15:06:30;727,5391;84
636934359918980961;14.05.2019 15:06:31;675,7813;84
636934359918980961;14.05.2019 15:06:31;694,3359;84
636934359928979845;14.05.2019 15:06:32;682,6172;85
636934359938976636;14.05.2019 15:06:33;713,8672;85
636934359938976636;14.05.2019 15:06:33;755,8594;85
636934359948976401;14.05.2019 15:06:34;732,4219;85
636934359958974631;14.05.2019 15:06:35;688,4766;84
636934359968973542;14.05.2019 15:06:36;689,4531;85
636934359968973542;14.05.2019 15:06:36;682,6172;85
636934359978971212;14.05.2019 15:06:37;734,375;85
636934359988975880;14.05.2019 15:06:38;698,2422;85
636934359988975880;14.05.2019 15:06:38;718,75;85
636934359998980161;14.05.2019 15:06:39;719,7266;85
636934360008987555;14.05.2019 15:06:40;738,2813;85
636934360018991196;14.05.2019 15:06:41;702,1484;84
636934360028995526;14.05.2019 15:06:42;764,6484;84
636934360028995526;14.05.2019 15:06:42;828,125;84
636934360039019752;14.05.2019 15:06:43;867,1875;83
636934360048883446;14.05.2019 15:06:44;784,1797;81
636934360048883446;14.05.2019 15:06:44;727,5391;81
636934360059040066;14.05.2019 15:06:45;705,0781;80
636934360069042917;14.05.2019 15:06:46;694,3359;81
636934360069042917;14.05.2019 15:06:46;680,6641;81
636934360078894974;14.05.2019 15:06:47;670,8984;82
636934360088902995;14.05.2019 15:06:48;674,8047;83
636934360088902995;14.05.2019 15:06:48;669,9219;83
636934360098904494;14.05.2019 15:06:49;658,2031;84
636934360109060651;14.05.2019 15:06:50;658,2031;86
636934360109060651;14.05.2019 15:06:50;664,0625;86
636934360118901258;14.05.2019 15:06:51;671,875;86
636934360129056412;14.05.2019 15:06:52;662,1094;87
636934360129056412;14.05.2019 15:06:52;660,1563;87
636934360139059956;14.05.2019 15:06:53;659,1797;88
636934360148905771;14.05.2019 15:06:54;664,0625;89
636934360148905771;14.05.2019 15:06:54;641,6016;89
636934360159072927;14.05.2019 15:06:55;639,6484;89
636934360169080505;14.05.2019 15:06:56;627,9297;90
636934360169080505;14.05.2019 15:06:56;639,6484;90
636934360179080871;14.05.2019 15:06:57;623,0469;92
636934360179080871;14.05.2019 15:06:57;613,2813;92
636934360189082248;14.05.2019 15:06:58;602,5391;93
