UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636928337932887043;07.05.2019 15:49:53;591,7969;101
636928337932887043;07.05.2019 15:49:53;593,75;101
636928337943835976;07.05.2019 15:49:54;617,1875;101
636928337953835694;07.05.2019 15:49:55;620,1172;100
636928337953835694;07.05.2019 15:49:55;594,7266;100
636928337968837777;07.05.2019 15:49:56;570,3125;101
636928337968837777;07.05.2019 15:49:56;574,2188;101
636928337973839157;07.05.2019 15:49:57;558,5938;102
636928337973839157;07.05.2019 15:49:57;556,6406;102
636928337983848344;07.05.2019 15:49:58;548,8281;104
636928337983848344;07.05.2019 15:49:58;532,2266;104
636928337998874454;07.05.2019 15:49:59;519,5313;107
636928337998874454;07.05.2019 15:49:59;506,8359;107
636928338003879369;07.05.2019 15:50:00;510,7422;111
636928338003879369;07.05.2019 15:50:00;510,7422;111
636928338018894568;07.05.2019 15:50:01;515,625;113
636928338018894568;07.05.2019 15:50:01;523,4375;113
636928338023901131;07.05.2019 15:50:02;524,4141;114
636928338023901131;07.05.2019 15:50:02;520,5078;114
636928338033755372;07.05.2019 15:50:03;512,6953;114
636928338048928638;07.05.2019 15:50:04;506,8359;115
636928338048928638;07.05.2019 15:50:04;522,4609;115
636928338053776332;07.05.2019 15:50:05;551,7578;115
636928338053776332;07.05.2019 15:50:05;589,8438;115
636928338063774060;07.05.2019 15:50:06;623,0469;113
636928338073774417;07.05.2019 15:50:07;640,625;107
636928338073774417;07.05.2019 15:50:07;643,5547;107
636928338099504923;07.05.2019 15:50:09;611,3281;103
636928338099504923;07.05.2019 15:50:09;605,4688;103
636928338099504923;07.05.2019 15:50:09;594,7266;102
636928338103881294;07.05.2019 15:50:10;586,9141;101
636928338103881294;07.05.2019 15:50:10;579,1016;101
636928338113880784;07.05.2019 15:50:11;578,125;102
636928338113880784;07.05.2019 15:50:11;571,2891;102
636928338123884611;07.05.2019 15:50:12;560,5469;103
636928338123884611;07.05.2019 15:50:12;555,6641;103
636928338133887570;07.05.2019 15:50:13;542,9688;104
636928338143887811;07.05.2019 15:50:14;545,8984;106
636928338143887811;07.05.2019 15:50:14;570,3125;106
636928338153888212;07.05.2019 15:50:15;599,6094;106
636928338163885857;07.05.2019 15:50:16;663,0859;104
636928338163885857;07.05.2019 15:50:16;733,3984;104
636928338173883500;07.05.2019 15:50:17;743,1641;97
636928338183881408;07.05.2019 15:50:18;713,8672;92
636928338183881408;07.05.2019 15:50:18;677,7344;92
636928338193879973;07.05.2019 15:50:19;654,2969;91
636928338203880383;07.05.2019 15:50:20;623,0469;92
636928338203880383;07.05.2019 15:50:20;605,4688;92
636928338213879385;07.05.2019 15:50:21;582,0313;94
636928338213879385;07.05.2019 15:50:21;561,5234;94
636928338223877097;07.05.2019 15:50:22;572,2656;98
636928338223877097;07.05.2019 15:50:22;568,3594;98
636928338233876033;07.05.2019 15:50:23;582,0313;99
636928338243876437;07.05.2019 15:50:24;592,7734;101
636928338243876437;07.05.2019 15:50:24;586,9141;101
636928338258875509;07.05.2019 15:50:25;592,7734;101
636928338258875509;07.05.2019 15:50:25;616,2109;101
636928338268882644;07.05.2019 15:50:26;620,1172;101
636928338273891509;07.05.2019 15:50:27;625,9766;99
636928338273891509;07.05.2019 15:50:27;609,375;99
636928338283920301;07.05.2019 15:50:28;596,6797;99
636928338283920301;07.05.2019 15:50:28;572,2656;99
636928338293780390;07.05.2019 15:50:29;565,4297;100
636928338308916356;07.05.2019 15:50:30;563,4766;102
636928338308916356;07.05.2019 15:50:30;564,4531;102
636928338313917816;07.05.2019 15:50:31;566,4063;103
636928338313917816;07.05.2019 15:50:31;563,4766;103
636928338323773722;07.05.2019 15:50:32;556,6406;105
636928338323773722;07.05.2019 15:50:32;554,6875;105
636928338338948835;07.05.2019 15:50:33;550,7813;106
636928338338948835;07.05.2019 15:50:33;549,8047;106
636928338343793950;07.05.2019 15:50:34;563,4766;107
636928338353805977;07.05.2019 15:50:35;566,4063;107
636928338353805977;07.05.2019 15:50:35;578,125;107
636928338363901131;07.05.2019 15:50:36;581,0547;106
636928338363901131;07.05.2019 15:50:36;559,5703;106
636928338373909357;07.05.2019 15:50:37;552,7344;106
636928338373909357;07.05.2019 15:50:37;545,8984;106
636928338383919168;07.05.2019 15:50:38;545,8984;107
636928338383919168;07.05.2019 15:50:38;536,1328;107
636928338393777088;07.05.2019 15:50:39;524,4141;109
636928338393777088;07.05.2019 15:50:39;530,2734;109
636928338408951456;07.05.2019 15:50:40;529,2969;110
636928338413795313;07.05.2019 15:50:41;535,1563;111
636928338413795313;07.05.2019 15:50:41;545,8984;111
636928338423970617;07.05.2019 15:50:42;547,8516;111
636928338423970617;07.05.2019 15:50:42;551,7578;111
636928338443839342;07.05.2019 15:50:44;546,875;110
636928338443839342;07.05.2019 15:50:44;546,875;110
636928338443839342;07.05.2019 15:50:44;545,8984;110
636928338443839342;07.05.2019 15:50:44;550,7813;110
636928338458839603;07.05.2019 15:50:45;560,5469;110
636928338458839603;07.05.2019 15:50:45;553,7109;110
636928338468840005;07.05.2019 15:50:46;541,9922;109
636928338468840005;07.05.2019 15:50:46;543,9453;109
636928338473841384;07.05.2019 15:50:47;527,3438;109
