UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636921379127324554;29.04.2019 14:31:52;1046,875;59
636921379137326258;29.04.2019 14:31:53;1101,563;60
636921379147260086;29.04.2019 14:31:54;1069,336;59
636921379157325864;29.04.2019 14:31:55;919,9219;59
636921379167260884;29.04.2019 14:31:56;828,125;59
636921379177259587;29.04.2019 14:31:57;988,2813;61
636921379177259587;29.04.2019 14:31:57;1106,445;61
636921379187261291;29.04.2019 14:31:58;889,6484;60
636921379197328571;29.04.2019 14:31:59;964,8438;60
636921379207262695;29.04.2019 14:32:00;861,3281;61
636921379217329020;29.04.2019 14:32:01;957,0313;61
636921379227323565;29.04.2019 14:32:02;726,5625;63
636921379227323565;29.04.2019 14:32:02;807,6172;63
636921379237332533;29.04.2019 14:32:03;794,9219;64
636921379247263532;29.04.2019 14:32:04;729,4922;66
636921379257264790;29.04.2019 14:32:05;752,9297;68
636921379257264790;29.04.2019 14:32:05;763,6719;68
636921379267261568;29.04.2019 14:32:06;731,4453;69
636921379277263111;29.04.2019 14:32:07;731,4453;70
636921379287256689;29.04.2019 14:32:08;767,5781;72
636921379287256689;29.04.2019 14:32:08;753,9063;72
636921379297265344;29.04.2019 14:32:09;704,1016;73
636921379307328920;29.04.2019 14:32:10;732,4219;74
636921379317265627;29.04.2019 14:32:11;761,7188;76
636921379317265627;29.04.2019 14:32:11;834,9609;76
636921379327266314;29.04.2019 14:32:12;766,6016;75
636921379347264712;29.04.2019 14:32:14;826,1719;75
636921379347264712;29.04.2019 14:32:14;991,2109;75
636921379357266480;29.04.2019 14:32:15;989,2578;75
636921379367331699;29.04.2019 14:32:16;806,6406;73
636921379377331550;29.04.2019 14:32:17;875,9766;73
636921379387332760;29.04.2019 14:32:18;908,2031;72
636921379397266934;29.04.2019 14:32:19;906,25;71
636921379397266934;29.04.2019 14:32:19;773,4375;71
636921379407332131;29.04.2019 14:32:20;0;71
636921379417264197;29.04.2019 14:32:21;783,2031;72
636921379417264197;29.04.2019 14:32:21;994,1406;72
636921379427332361;29.04.2019 14:32:22;1086,914;72
636921379437332541;29.04.2019 14:32:23;902,3438;70
636921379447267896;29.04.2019 14:32:24;797,8516;69
636921379457267042;29.04.2019 14:32:25;874,0234;69
636921379467267001;29.04.2019 14:32:26;1088,867;70
636921379477332480;29.04.2019 14:32:27;904,2969;69
636921379487269129;29.04.2019 14:32:28;795,8984;68
636921379497336323;29.04.2019 14:32:29;894,5313;68
636921379507269952;29.04.2019 14:32:30;937,5;69
636921379517335243;29.04.2019 14:32:31;837,8906;68
636921379517335243;29.04.2019 14:32:31;1027,344;68
636921379527265810;29.04.2019 14:32:32;962,8906;68
636921379537268943;29.04.2019 14:32:33;826,1719;67
636921379547336949;29.04.2019 14:32:34;938,4766;67
636921379557335686;29.04.2019 14:32:35;1030,273;67
636921379567328156;29.04.2019 14:32:36;832,0313;67
636921379577271215;29.04.2019 14:32:37;849,6094;67
636921379587336534;29.04.2019 14:32:38;950,1953;67
636921379597351819;29.04.2019 14:32:39;951,1719;67
636921379597351819;29.04.2019 14:32:39;794,9219;67
636921379607272500;29.04.2019 14:32:40;756,8359;67
636921379617264768;29.04.2019 14:32:41;768,5547;68
636921379627339149;29.04.2019 14:32:42;954,1016;69
636921379637271051;29.04.2019 14:32:43;1052,734;69
636921379647338030;29.04.2019 14:32:44;1050,781;68
636921379657310723;29.04.2019 14:32:45;826,1719;67
636921379667338318;29.04.2019 14:32:46;885,7422;67
636921379677271927;29.04.2019 14:32:47;1041,992;67
636921379687334653;29.04.2019 14:32:48;925,7813;67
636921379697338800;29.04.2019 14:32:49;790,0391;66
636921379707274479;29.04.2019 14:32:50;801,7578;68
636921379707274479;29.04.2019 14:32:50;968,75;68
636921379717339313;29.04.2019 14:32:51;1013,672;68
636921379727273287;29.04.2019 14:32:52;836,9141;67
636921379737275914;29.04.2019 14:32:53;776,3672;67
636921379747274346;29.04.2019 14:32:54;832,0313;68
636921379757275606;29.04.2019 14:32:55;870,1172;68
636921379757275606;29.04.2019 14:32:55;894,5313;68
