UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636923962957935181;02.05.2019 14:18:15;794,9219;88
636923962968129325;02.05.2019 14:18:16;998,0469;87
636923962978332133;02.05.2019 14:18:17;885,7422;82
636923962987938350;02.05.2019 14:18:18;753,9063;79
636923962987938350;02.05.2019 14:18:18;790,0391;79
636923962998138318;02.05.2019 14:18:19;843,75;79
636923963008402862;02.05.2019 14:18:20;771,4844;79
636923963017937926;02.05.2019 14:18:21;740,2344;78
636923963017937926;02.05.2019 14:18:21;745,1172;78
636923963028130015;02.05.2019 14:18:22;711,9141;79
636923963038339333;02.05.2019 14:18:23;709,9609;79
636923963047934147;02.05.2019 14:18:24;725,5859;80
636923963047934147;02.05.2019 14:18:24;689,4531;80
636923963058140587;02.05.2019 14:18:25;736,3281;80
636923963068339261;02.05.2019 14:18:26;709,9609;81
636923963068339261;02.05.2019 14:18:26;679,6875;81
636923963077935893;02.05.2019 14:18:27;708,9844;82
636923963088140116;02.05.2019 14:18:28;658,2031;83
636923963088140116;02.05.2019 14:18:28;684,5703;83
636923963098339721;02.05.2019 14:18:29;694,3359;84
636923963107936635;02.05.2019 14:18:30;671,875;84
636923963107936635;02.05.2019 14:18:30;679,6875;84
636923963118740613;02.05.2019 14:18:31;649,4141;85
636923963128338860;02.05.2019 14:18:32;640,625;87
636923963128338860;02.05.2019 14:18:32;653,3203;87
636923963137936885;02.05.2019 14:18:33;627,9297;88
636923963137936885;02.05.2019 14:18:33;634,7656;88
636923963148141693;02.05.2019 14:18:34;623,0469;89
636923963158339749;02.05.2019 14:18:35;631,8359;91
636923963158339749;02.05.2019 14:18:35;614,2578;91
636923963167938835;02.05.2019 14:18:36;617,1875;92
636923963178138881;02.05.2019 14:18:37;645,5078;93
636923963178138881;02.05.2019 14:18:37;689,4531;93
636923963190738255;02.05.2019 14:18:39;675,7813;93
636923963200808954;02.05.2019 14:18:40;666,9922;91
636923963200808954;02.05.2019 14:18:40;696,2891;91
636923963210809677;02.05.2019 14:18:41;706,0547;91
636923963220808331;02.05.2019 14:18:42;681,6406;90
636923963230742333;02.05.2019 14:18:43;722,6563;90
636923963240808669;02.05.2019 14:18:44;804,6875;87
636923963240808669;02.05.2019 14:18:44;871,0938;87
636923963250735587;02.05.2019 14:18:45;721,6797;85
636923963260741322;02.05.2019 14:18:46;727,5391;84
636923963270740776;02.05.2019 14:18:47;750,9766;84
636923963270740776;02.05.2019 14:18:47;705,0781;84
