UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636936763613496011;17.05.2019 09:52:41;587,8906;104
636936763613496011;17.05.2019 09:52:41;587,8906;104
636936763623496510;17.05.2019 09:52:42;594,7266;104
636936763633499408;17.05.2019 09:52:43;611,3281;103
636936763633499408;17.05.2019 09:52:43;601,5625;103
636936763643497712;17.05.2019 09:52:44;600,5859;101
636936763643497712;17.05.2019 09:52:44;605,4688;101
636936763653496778;17.05.2019 09:52:45;605,4688;101
636936763663496995;17.05.2019 09:52:46;604,4922;100
636936763663496995;17.05.2019 09:52:46;594,7266;100
636936763673503951;17.05.2019 09:52:47;591,7969;100
636936763673503951;17.05.2019 09:52:47;596,6797;100
636936763683506559;17.05.2019 09:52:48;621,0938;101
636936763693507057;17.05.2019 09:52:49;649,4141;99
636936763693507057;17.05.2019 09:52:49;651,3672;99
636936763703507537;17.05.2019 09:52:50;639,6484;98
636936763713508628;17.05.2019 09:52:51;634,7656;96
636936763713508628;17.05.2019 09:52:51;631,8359;96
636936763723506290;17.05.2019 09:52:52;636,7188;96
636936763723506290;17.05.2019 09:52:52;624,0234;96
636936763733503032;17.05.2019 09:52:53;614,2578;96
636936763743501608;17.05.2019 09:52:54;611,3281;96
636936763743501608;17.05.2019 09:52:54;609,375;96
636936763753500533;17.05.2019 09:52:55;587,8906;97
636936763753500533;17.05.2019 09:52:55;573,2422;97
636936763763499909;17.05.2019 09:52:56;563,4766;100
636936763763499909;17.05.2019 09:52:56;562,5;100
636936763784385121;17.05.2019 09:52:58;561,5234;101
636936763784385121;17.05.2019 09:52:58;560,5469;103
636936763784385121;17.05.2019 09:52:58;561,5234;103
636936763793451629;17.05.2019 09:52:59;584,9609;104
636936763793451629;17.05.2019 09:52:59;603,5156;104
636936763793451629;17.05.2019 09:52:59;297,8516;104
636936763803453159;17.05.2019 09:53:00;284,1797;104
636936763813458586;17.05.2019 09:53:01;565,4297;103
636936763813458586;17.05.2019 09:53:01;570,3125;103
636936763828463250;17.05.2019 09:53:02;581,0547;103
636936763828463250;17.05.2019 09:53:02;600,5859;103
