UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636923991826370197;02.05.2019 15:06:22;612,3047;100
636923991826370197;02.05.2019 15:06:22;610,3516;100
636923991836398360;02.05.2019 15:06:23;600,5859;99
636923991836398360;02.05.2019 15:06:23;570,3125;99
636923991846334643;02.05.2019 15:06:24;588,8672;100
636923991856335740;02.05.2019 15:06:25;600,5859;101
636923991856335740;02.05.2019 15:06:25;616,2109;101
636923991866399258;02.05.2019 15:06:26;614,2578;100
636923991866399258;02.05.2019 15:06:26;586,9141;100
636923991876336133;02.05.2019 15:06:27;624,0234;100
636923991896337574;02.05.2019 15:06:29;658,2031;98
636923991896337574;02.05.2019 15:06:29;690,4297;98
636923991896337574;02.05.2019 15:06:29;672,8516;97
636923991906400413;02.05.2019 15:06:30;610,3516;95
636923991906400413;02.05.2019 15:06:30;621,0938;95
636923991916339322;02.05.2019 15:06:31;632,8125;95
636923991926338103;02.05.2019 15:06:32;636,7188;95
636923991926338103;02.05.2019 15:06:32;644,5313;95
636923991936338358;02.05.2019 15:06:33;649,4141;95
636923991936338358;02.05.2019 15:06:33;601,5625;95
636923991946336676;02.05.2019 15:06:34;602,5391;95
636923991956339189;02.05.2019 15:06:35;627,9297;96
636923991956339189;02.05.2019 15:06:35;630,8594;96
636923991966337870;02.05.2019 15:06:36;632,8125;96
636923991976388350;02.05.2019 15:06:37;647,4609;95
636923991976388350;02.05.2019 15:06:37;645,5078;95
636923991986336915;02.05.2019 15:06:38;630,8594;95
636923991986336915;02.05.2019 15:06:38;597,6563;95
636923991996400405;02.05.2019 15:06:39;584,9609;96
636923991996400405;02.05.2019 15:06:39;576,1719;96
636923992006400377;02.05.2019 15:06:40;548,8281;98
636923992016335205;02.05.2019 15:06:41;550,7813;101
636923992016335205;02.05.2019 15:06:41;553,7109;101
636923992026338663;02.05.2019 15:06:42;537,1094;104
636923992026338663;02.05.2019 15:06:42;524,4141;104
636923992036400327;02.05.2019 15:06:43;541,9922;107
636923992036400327;02.05.2019 15:06:43;536,1328;107
636923992046398379;02.05.2019 15:06:44;541,9922;109
636923992046398379;02.05.2019 15:06:44;546,875;109
636923992056337566;02.05.2019 15:06:45;549,8047;109
636923992056337566;02.05.2019 15:06:45;548,8281;109
