UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636930794709773271;10.05.2019 12:04:30;793,9453;73
636930794719315702;10.05.2019 12:04:31;781,25;73
636930794729629792;10.05.2019 12:04:32;796,875;73
636930794739800328;10.05.2019 12:04:33;776,3672;74
636930794739800328;10.05.2019 12:04:33;762,6953;74
636930794749331766;10.05.2019 12:04:34;768,5547;74
636930794759644822;10.05.2019 12:04:35;787,1094;75
636930794769799608;10.05.2019 12:04:36;814,4531;75
636930794769799608;10.05.2019 12:04:36;817,3828;75
636930794781207350;10.05.2019 12:04:38;790,0391;75
636930794791219829;10.05.2019 12:04:39;727,5391;75
636930794791219829;10.05.2019 12:04:39;677,7344;75
636930794801222516;10.05.2019 12:04:40;631,8359;76
636930794811221522;10.05.2019 12:04:41;654,2969;79
636930794811221522;10.05.2019 12:04:41;643,5547;79
636930794821220436;10.05.2019 12:04:42;618,1641;81
636930794831219444;10.05.2019 12:04:43;620,1172;84
636930794831219444;10.05.2019 12:04:43;618,1641;84
636930794841218175;10.05.2019 12:04:44;618,1641;87
636930794841218175;10.05.2019 12:04:44;600,5859;87
636930794851215812;10.05.2019 12:04:45;594,7266;90
636930794851215812;10.05.2019 12:04:45;599,6094;90
636930794861213578;10.05.2019 12:04:46;580,0781;92
636930794871210151;10.05.2019 12:04:47;570,3125;95
636930794871210151;10.05.2019 12:04:47;553,7109;95
636930794881208788;10.05.2019 12:04:48;574,2188;99
636930794881208788;10.05.2019 12:04:48;560,5469;99
636930794891206472;10.05.2019 12:04:49;559,5703;100
636930794901208112;10.05.2019 12:04:50;563,4766;103
636930794901208112;10.05.2019 12:04:50;605,4688;103
636930794911205674;10.05.2019 12:04:51;653,3203;103
636930794926202197;10.05.2019 12:04:52;720,7031;101
636930794931201017;10.05.2019 12:04:53;715,8203;92
636930794931201017;10.05.2019 12:04:53;793,9453;92
636930794941198648;10.05.2019 12:04:54;818,3594;90
636930794951198324;10.05.2019 12:04:55;808,5938;87
636930794961209503;10.05.2019 12:04:56;815,4297;86
636930794971240226;10.05.2019 12:04:57;803,7109;84
636930794981109544;10.05.2019 12:04:58;841,7969;82
636930794981109544;10.05.2019 12:04:58;854,4922;82
636930794991123959;10.05.2019 12:04:59;841,7969;81
636930795001125655;10.05.2019 12:05:00;820,3125;80
636930795011141020;10.05.2019 12:05:01;810,5469;79
636930795021155289;10.05.2019 12:05:02;808,5938;78
636930795031176317;10.05.2019 12:05:03;842,7734;77
636930795031176317;10.05.2019 12:05:03;866,2109;77
636930795041182315;10.05.2019 12:05:04;838,8672;77
636930795051187785;10.05.2019 12:05:05;796,875;76
636930795061202081;10.05.2019 12:05:06;771,4844;76
636930795061202081;10.05.2019 12:05:06;760,7422;76
636930795071210935;10.05.2019 12:05:07;753,9063;76
636930795081221644;10.05.2019 12:05:08;759,7656;76
636930795091233078;10.05.2019 12:05:09;780,2734;77
636930795101241229;10.05.2019 12:05:10;807,6172;77
636930795101241229;10.05.2019 12:05:10;814,4531;77
636930795111241653;10.05.2019 12:05:11;796,875;76
636930795121252314;10.05.2019 12:05:12;775,3906;76
636930795121252314;10.05.2019 12:05:12;729,4922;76
636930795131111381;10.05.2019 12:05:13;698,2422;77
636930795141123990;10.05.2019 12:05:14;669,9219;77
636930795151133404;10.05.2019 12:05:15;647,4609;80
636930795151133404;10.05.2019 12:05:15;666,0156;80
636930795161132312;10.05.2019 12:05:16;834,9609;81
636930795171286106;10.05.2019 12:05:17;826,1719;81
636930795181295099;10.05.2019 12:05:18;788,0859;79
636930795181295099;10.05.2019 12:05:18;769,5313;79
636930795191298499;10.05.2019 12:05:19;741,2109;79
636930795201139918;10.05.2019 12:05:20;702,1484;79
636930795211302497;10.05.2019 12:05:21;708,0078;80
636930795211302497;10.05.2019 12:05:21;691,4063;80
636930795221302638;10.05.2019 12:05:22;704,1016;81
636930795231144007;10.05.2019 12:05:23;711,9141;82
636930795231144007;10.05.2019 12:05:23;715,8203;82
636930795241164756;10.05.2019 12:05:24;693,3594;82
636930795251174813;10.05.2019 12:05:25;684,5703;83
636930795251174813;10.05.2019 12:05:25;675,7813;83
636930795261190267;10.05.2019 12:05:26;680,6641;83
636930795271190550;10.05.2019 12:05:27;667,9688;85
636930795271190550;10.05.2019 12:05:27;678,7109;85
636930795281189682;10.05.2019 12:05:28;677,7344;85
636930795291189031;10.05.2019 12:05:29;675,7813;86
636930795291189031;10.05.2019 12:05:29;663,0859;86
636930795301193187;10.05.2019 12:05:30;648,4375;86
636930795311193342;10.05.2019 12:05:31;630,8594;88
636930795311193342;10.05.2019 12:05:31;646,4844;88
636930795321193553;10.05.2019 12:05:32;620,1172;89
636930795331191134;10.05.2019 12:05:33;618,1641;91
636930795331191134;10.05.2019 12:05:33;654,2969;91
636930795341191478;10.05.2019 12:05:34;736,3281;91
636930795351190303;10.05.2019 12:05:35;768,5547;91
636930795361191489;10.05.2019 12:05:36;746,0938;88
636930795361191489;10.05.2019 12:05:36;734,375;88
636930795371204654;10.05.2019 12:05:37;711,9141;87
636930795381214831;10.05.2019 12:05:38;682,6172;86
636930795381214831;10.05.2019 12:05:38;695,3125;86
636930795391220760;10.05.2019 12:05:39;681,6406;86
636930795401224442;10.05.2019 12:05:40;687,5;87
636930795401224442;10.05.2019 12:05:40;705,0781;87
636930795411224669;10.05.2019 12:05:41;709,9609;87
636930795421225362;10.05.2019 12:05:42;681,6406;86
636930795436244972;10.05.2019 12:05:43;693,3594;86
636930795436244972;10.05.2019 12:05:43;693,3594;86
636930795441248377;10.05.2019 12:05:44;737,3047;86
636930795451247207;10.05.2019 12:05:45;763,6719;86
636930795461256007;10.05.2019 12:05:46;773,4375;84
636930795461256007;10.05.2019 12:05:46;748,0469;84
636930795471273326;10.05.2019 12:05:47;721,6797;84
636930795481118981;10.05.2019 12:05:48;688,4766;84
636930795481118981;10.05.2019 12:05:48;672,8516;84
