UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636929039661894131;08.05.2019 11:19:26;752,9297;75
636929039676895925;08.05.2019 11:19:27;832,0313;76
636929039676895925;08.05.2019 11:19:27;883,7891;76
636929039676895925;08.05.2019 11:19:27;851,5625;75
636929039681899093;08.05.2019 11:19:28;750;74
636929039691895871;08.05.2019 11:19:29;828,125;75
636929039691895871;08.05.2019 11:19:29;804,6875;75
636929039706897269;08.05.2019 11:19:30;749,0234;75
636929039711896095;08.05.2019 11:19:31;734,375;75
636929039726891902;08.05.2019 11:19:32;764,6484;76
636929039726891902;08.05.2019 11:19:32;763,6719;76
636929039741889748;08.05.2019 11:19:34;721,6797;76
636929039746889181;08.05.2019 11:19:34;799,8047;77
636929039761885645;08.05.2019 11:19:36;775,3906;77
636929039761885645;08.05.2019 11:19:36;712,8906;77
636929039761885645;08.05.2019 11:19:36;678,7109;77
636929039776883430;08.05.2019 11:19:37;722,6563;78
636929039781882256;08.05.2019 11:19:38;743,1641;79
636929039781882256;08.05.2019 11:19:38;798,8281;79
636929039791881237;08.05.2019 11:19:39;736,3281;79
636929039806878135;08.05.2019 11:19:40;747,0703;79
636929039816875783;08.05.2019 11:19:41;742,1875;79
636929039816875783;08.05.2019 11:19:41;756,8359;79
636929039826790422;08.05.2019 11:19:42;697,2656;79
636929039831789254;08.05.2019 11:19:43;750;80
636929039846942011;08.05.2019 11:19:44;740,2344;80
636929039846942011;08.05.2019 11:19:44;743,1641;80
636929039861784162;08.05.2019 11:19:46;766,6016;80
636929039861784162;08.05.2019 11:19:46;796,875;80
636929039876785175;08.05.2019 11:19:47;879,8828;80
636929039896785130;08.05.2019 11:19:49;754,8828;79
636929039911785949;08.05.2019 11:19:51;855,4688;78
636929039911785949;08.05.2019 11:19:51;854,4922;78
636929039911941408;08.05.2019 11:19:51;803,7109;77
636929039911941408;08.05.2019 11:19:51;801,7578;77
636929039926786408;08.05.2019 11:19:52;792,9688;76
636929039926786408;08.05.2019 11:19:52;806,6406;76
636929039931786481;08.05.2019 11:19:53;727,5391;76
636929039946943238;08.05.2019 11:19:54;798,8281;77
636929039951943505;08.05.2019 11:19:55;806,6406;77
636929039961941153;08.05.2019 11:19:56;893,5547;76
636929039961941153;08.05.2019 11:19:56;715,8203;76
636929039976940961;08.05.2019 11:19:57;801,7578;76
636929039981940203;08.05.2019 11:19:58;791,0156;76
636929039996785094;08.05.2019 11:19:59;743,1641;76
636929040011790662;08.05.2019 11:20:01;752,9297;77
636929040011790662;08.05.2019 11:20:01;769,5313;77
636929040011946212;08.05.2019 11:20:01;808,5938;77
636929040031788720;08.05.2019 11:20:03;759,7656;77
636929040031944938;08.05.2019 11:20:03;830,0781;77
636929040046954334;08.05.2019 11:20:04;836,9141;76
636929040046954334;08.05.2019 11:20:04;797,8516;76
636929040061796746;08.05.2019 11:20:06;767,5781;76
636929040061952019;08.05.2019 11:20:06;758,7891;76
636929040061952019;08.05.2019 11:20:06;745,1172;76
636929040076814507;08.05.2019 11:20:07;691,4063;77
636929040081815708;08.05.2019 11:20:08;734,375;77
636929040096982788;08.05.2019 11:20:09;711,9141;78
636929040101981692;08.05.2019 11:20:10;716,7969;79
636929040111823701;08.05.2019 11:20:11;919,9219;79
636929040111823701;08.05.2019 11:20:11;889,6484;79
636929040131989544;08.05.2019 11:20:13;824,2188;77
636929040146844501;08.05.2019 11:20:14;857,4219;77
