UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636921264539640171;29.04.2019 11:20:53;1151,367;60
636921264549847783;29.04.2019 11:20:54;1234,375;59
636921264559445256;29.04.2019 11:20:55;1209,961;58
636921264569705531;29.04.2019 11:20:56;1063,477;57
636921264579837219;29.04.2019 11:20:57;1152,344;57
636921264589508752;29.04.2019 11:20:58;0;57
636921264599647787;29.04.2019 11:20:59;1168,945;57
636921264609840183;29.04.2019 11:21:00;1144,531;56
636921264619447916;29.04.2019 11:21:01;1083,008;56
636921264629643324;29.04.2019 11:21:02;1186,523;56
636921264639847741;29.04.2019 11:21:03;1134,766;55
636921264649447739;29.04.2019 11:21:04;1000;55
636921264659648422;29.04.2019 11:21:05;943,3594;55
636921264669913672;29.04.2019 11:21:06;1159,18;56
636921264679439867;29.04.2019 11:21:07;1069,336;56
636921264689647748;29.04.2019 11:21:08;903,3203;56
636921264699847583;29.04.2019 11:21:09;908,2031;56
636921264709447755;29.04.2019 11:21:10;1084,961;57
636921264719647510;29.04.2019 11:21:11;1060,547;58
636921264729848259;29.04.2019 11:21:12;938,4766;57
636921264739444561;29.04.2019 11:21:13;1025,391;58
636921264749644936;29.04.2019 11:21:14;1142,578;58
636921264759847378;29.04.2019 11:21:15;1078,125;58
636921264769447434;29.04.2019 11:21:16;1005,859;57
636921264779646233;29.04.2019 11:21:17;0;57
636921264789650885;29.04.2019 11:21:18;1116,211;57
636921264799717558;29.04.2019 11:21:19;1160,156;57
636921264809648097;29.04.2019 11:21:20;1118,164;57
636921264819717378;29.04.2019 11:21:21;1069,336;57
636921264829647214;29.04.2019 11:21:22;1164,063;56
636921264839644352;29.04.2019 11:21:23;1172,852;56
636921264849648729;29.04.2019 11:21:24;1091,797;56
636921264859714901;29.04.2019 11:21:25;1068,359;55
636921264869714389;29.04.2019 11:21:26;1131,836;55
636921264879717871;29.04.2019 11:21:27;0;55
636921264889717464;29.04.2019 11:21:28;1117,188;55
636921264899647665;29.04.2019 11:21:29;1012,695;55
636921264909648959;29.04.2019 11:21:30;1150,391;55
636921264919648325;29.04.2019 11:21:31;1166,992;55
636921264929715896;29.04.2019 11:21:32;1087,891;55
636921264939649793;29.04.2019 11:21:33;1164,063;55
636921264949717902;29.04.2019 11:21:34;1168,945;55
636921264959654201;29.04.2019 11:21:35;0;55
