UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636917862318818642;25.04.2019 12:50:31;865,2344;76
636917862328747952;25.04.2019 12:50:32;889,6484;76
636917862343810698;25.04.2019 12:50:34;878,9063;75
636917862348767686;25.04.2019 12:50:34;806,6406;74
636917862348767686;25.04.2019 12:50:34;807,6172;74
636917862358753390;25.04.2019 12:50:35;804,6875;74
636917862368753534;25.04.2019 12:50:36;816,4063;74
636917862378818750;25.04.2019 12:50:37;776,3672;74
636917862378818750;25.04.2019 12:50:37;740,2344;74
636917862388819277;25.04.2019 12:50:38;760,7422;75
636917862398824466;25.04.2019 12:50:39;837,8906;75
636917862408818792;25.04.2019 12:50:40;912,1094;75
636917862418754061;25.04.2019 12:50:41;910,1563;75
636917862428754462;25.04.2019 12:50:42;916,9922;74
636917862438755374;25.04.2019 12:50:43;861,3281;72
636917862438755374;25.04.2019 12:50:43;755,8594;72
636917862448823145;25.04.2019 12:50:44;750,9766;73
636917862458753603;25.04.2019 12:50:45;774,4141;73
636917862473818854;25.04.2019 12:50:47;791,9922;74
636917862478757031;25.04.2019 12:50:47;863,2813;74
636917862488822782;25.04.2019 12:50:48;823,2422;74
636917862488822782;25.04.2019 12:50:48;838,8672;74
636917862498751841;25.04.2019 12:50:49;879,8828;74
636917862508758557;25.04.2019 12:50:50;871,0938;73
636917862518823424;25.04.2019 12:50:51;744,1406;73
636917862518823424;25.04.2019 12:50:51;744,1406;73
636917862528764068;25.04.2019 12:50:52;721,6797;74
636917862538823876;25.04.2019 12:50:53;710,9375;75
636917862538823876;25.04.2019 12:50:53;684,5703;75
636917862548824774;25.04.2019 12:50:54;652,3438;76
636917862558825807;25.04.2019 12:50:55;676,7578;78
636917862568759308;25.04.2019 12:50:56;668,9453;80
636917862568759308;25.04.2019 12:50:56;698,2422;80
636917862583824165;25.04.2019 12:50:58;779,2969;81
636917862593824836;25.04.2019 12:50:59;860,3516;81
636917862598757629;25.04.2019 12:50:59;813,4766;80
636917862608759452;25.04.2019 12:51:00;767,5781;79
636917862608759452;25.04.2019 12:51:00;796,875;79
636917862618826835;25.04.2019 12:51:01;802,7344;79
636917862628761414;25.04.2019 12:51:02;734,375;78
636917862628761414;25.04.2019 12:51:02;719,7266;78
636917862638757853;25.04.2019 12:51:03;744,1406;79
636917862658761026;25.04.2019 12:51:05;708,0078;79
636917862658832332;25.04.2019 12:51:05;729,4922;79
636917862668762671;25.04.2019 12:51:06;808,5938;80
636917862668762671;25.04.2019 12:51:06;811,5234;80
636917862678828082;25.04.2019 12:51:07;745,1172;79
636917862688828708;25.04.2019 12:51:08;783,2031;79
636917862698762475;25.04.2019 12:51:09;797,8516;79
636917862698762475;25.04.2019 12:51:09;697,2656;79
636917862708760059;25.04.2019 12:51:10;706,0547;79
636917862718827530;25.04.2019 12:51:11;715,8203;80
636917862718827530;25.04.2019 12:51:11;718,75;80
636917862728828065;25.04.2019 12:51:12;674,8047;80
636917862738762248;25.04.2019 12:51:13;717,7734;81
636917862748829719;25.04.2019 12:51:14;742,1875;82
636917862748829719;25.04.2019 12:51:14;764,6484;82
636917862758757485;25.04.2019 12:51:15;722,6563;81
636917862768830024;25.04.2019 12:51:16;715,8203;81
636917862778765420;25.04.2019 12:51:17;752,9297;82
636917862778765420;25.04.2019 12:51:17;787,1094;82
636917862788828082;25.04.2019 12:51:18;818,3594;81
636917862798830525;25.04.2019 12:51:19;762,6953;80
636917862808830941;25.04.2019 12:51:20;797,8516;80
636917862818831099;25.04.2019 12:51:21;838,8672;80
636917862828763411;25.04.2019 12:51:22;854,4922;78
636917862828763411;25.04.2019 12:51:22;860,3516;78
636917862843766654;25.04.2019 12:51:24;777,3438;77
636917862848765245;25.04.2019 12:51:24;846,6797;77
636917862858832224;25.04.2019 12:51:25;861,3281;77
636917862868764954;25.04.2019 12:51:26;893,5547;76
636917862878832559;25.04.2019 12:51:27;829,1016;75
636917862888767553;25.04.2019 12:51:28;813,4766;75
636917862888767553;25.04.2019 12:51:28;844,7266;75
636917862898830281;25.04.2019 12:51:29;846,6797;74
636917862908767711;25.04.2019 12:51:30;787,1094;74
636917862918767193;25.04.2019 12:51:31;820,3125;74
636917862928780289;25.04.2019 12:51:32;840,8203;74
636917862928780289;25.04.2019 12:51:32;843,75;74
636917862938831960;25.04.2019 12:51:33;765,625;74
636917862948827963;25.04.2019 12:51:34;739,2578;74
636917862948827963;25.04.2019 12:51:34;756,8359;74
636917862958835886;25.04.2019 12:51:35;729,4922;75
636917862968768545;25.04.2019 12:51:36;661,1328;75
636917862978834146;25.04.2019 12:51:37;719,7266;78
636917862978834146;25.04.2019 12:51:37;729,4922;78
636917862988767440;25.04.2019 12:51:38;676,7578;78
636917862998768914;25.04.2019 12:51:39;725,5859;80
636917862998768914;25.04.2019 12:51:39;734,375;80
636917863008768185;25.04.2019 12:51:40;740,2344;80
636917863018836199;25.04.2019 12:51:41;698,2422;80
636917863028773053;25.04.2019 12:51:42;751,9531;81
636917863028773053;25.04.2019 12:51:42;765,625;81
636917863038768451;25.04.2019 12:51:43;779,2969;80
636917863048835410;25.04.2019 12:51:44;718,75;80
636917863058769598;25.04.2019 12:51:45;702,1484;81
636917863058769598;25.04.2019 12:51:45;722,6563;81
636917863068837504;25.04.2019 12:51:46;734,375;81
636917863078767326;25.04.2019 12:51:47;706,0547;81
636917863088836227;25.04.2019 12:51:48;784,1797;81
636917863098771656;25.04.2019 12:51:49;840,8203;81
636917863108838222;25.04.2019 12:51:50;898,4375;79
636917863108838222;25.04.2019 12:51:50;818,3594;79
636917863118836488;25.04.2019 12:51:51;844,7266;78
636917863128770327;25.04.2019 12:51:52;826,1719;78
636917863138838621;25.04.2019 12:51:53;813,4766;77
636917863138838621;25.04.2019 12:51:53;782,2266;77
636917863148772851;25.04.2019 12:51:54;747,0703;77
636917863158838729;25.04.2019 12:51:55;710,9375;77
636917863158838729;25.04.2019 12:51:55;686,5234;77
636917863168771127;25.04.2019 12:51:56;669,9219;78
636917863188770817;25.04.2019 12:51:58;649,4141;80
636917863188770817;25.04.2019 12:51:58;643,5547;80
636917863188781334;25.04.2019 12:51:58;644,5313;82
636917863198770645;25.04.2019 12:51:59;647,4609;84
636917863198770645;25.04.2019 12:51:59;672,8516;84
636917863208773878;25.04.2019 12:52:00;683,5938;85
636917863218838369;25.04.2019 12:52:01;719,7266;85
636917863228821887;25.04.2019 12:52:02;811,5234;85
636917863238772490;25.04.2019 12:52:03;877,9297;84
636917863248841691;25.04.2019 12:52:04;894,5313;81
636917863248841691;25.04.2019 12:52:04;791,0156;81
636917863258841630;25.04.2019 12:52:05;743,1641;80
636917863268772626;25.04.2019 12:52:06;701,1719;80
636917863268772626;25.04.2019 12:52:06;680,6641;80
636917863278842472;25.04.2019 12:52:07;722,6563;81
636917863288842489;25.04.2019 12:52:08;758,7891;81
636917863298777159;25.04.2019 12:52:09;796,875;81
636917863308773330;25.04.2019 12:52:10;773,4375;81
636917863318774532;25.04.2019 12:52:11;807,6172;80
636917863318774532;25.04.2019 12:52:11;851,5625;80
