UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636929066222035266;08.05.2019 12:03:42;920,8984;80
636929066231568584;08.05.2019 12:03:43;906,25;79
636929066241879314;08.05.2019 12:03:44;862,3047;77
636929066251412810;08.05.2019 12:03:45;833,9844;76
636929066251412810;08.05.2019 12:03:45;875;76
636929066262197748;08.05.2019 12:03:46;906,25;75
636929066271895796;08.05.2019 12:03:47;943,3594;75
636929066282052175;08.05.2019 12:03:48;894,5313;74
636929066291592090;08.05.2019 12:03:49;881,8359;73
636929066301911017;08.05.2019 12:03:50;951,1719;72
636929066311443868;08.05.2019 12:03:51;926,7578;72
636929066321598653;08.05.2019 12:03:52;865,2344;71
636929066331908014;08.05.2019 12:03:53;860,3516;70
636929066331908014;08.05.2019 12:03:53;864,2578;70
636929066341437819;08.05.2019 12:03:54;843,75;70
636929066351591849;08.05.2019 12:03:55;779,2969;70
636929066361904152;08.05.2019 12:03:56;799,8047;71
636929066371434359;08.05.2019 12:03:57;808,5938;72
636929066371434359;08.05.2019 12:03:57;832,0313;72
636929066381590857;08.05.2019 12:03:58;798,8281;72
636929066391900281;08.05.2019 12:03:59;739,2578;72
636929066401429372;08.05.2019 12:04:00;762,6953;73
636929066401429372;08.05.2019 12:04:00;775,3906;73
636929066411740018;08.05.2019 12:04:01;738,2813;74
636929066422362591;08.05.2019 12:04:02;787,1094;74
636929066431427305;08.05.2019 12:04:03;816,4063;75
636929066431427305;08.05.2019 12:04:03;757,8125;75
636929066442210579;08.05.2019 12:04:04;733,3984;75
636929066452366625;08.05.2019 12:04:05;750,9766;75
636929066462054028;08.05.2019 12:04:06;717,7734;77
636929066462054028;08.05.2019 12:04:06;681,6406;77
636929066472363403;08.05.2019 12:04:07;747,0703;77
636929066482517310;08.05.2019 12:04:08;826,1719;78
636929066492514989;08.05.2019 12:04:09;791,9922;78
636929066492514989;08.05.2019 12:04:09;752,9297;78
636929066507512175;08.05.2019 12:04:10;744,1406;78
636929066512511315;08.05.2019 12:04:11;735,3516;78
636929066532510650;08.05.2019 12:04:13;829,1016;78
636929066532510650;08.05.2019 12:04:13;833,9844;78
636929066547505792;08.05.2019 12:04:14;857,4219;77
636929066547505792;08.05.2019 12:04:14;877,9297;77
636929066552503912;08.05.2019 12:04:15;795,8984;76
636929066562501560;08.05.2019 12:04:16;764,6484;76
636929066572498933;08.05.2019 12:04:17;752,9297;76
636929066582498814;08.05.2019 12:04:18;731,4453;76
636929066592497750;08.05.2019 12:04:19;801,7578;77
636929066592497750;08.05.2019 12:04:19;941,4063;77
636929066607494344;08.05.2019 12:04:20;916,9922;76
636929066612493126;08.05.2019 12:04:21;912,1094;75
636929066622499249;08.05.2019 12:04:22;909,1797;74
636929066632497487;08.05.2019 12:04:23;846,6797;73
636929066647495408;08.05.2019 12:04:24;833,0078;73
636929066652494173;08.05.2019 12:04:25;875,9766;72
636929066652494173;08.05.2019 12:04:25;873,0469;72
636929066667492928;08.05.2019 12:04:26;844,7266;72
636929066672491758;08.05.2019 12:04:27;771,4844;72
636929066692490796;08.05.2019 12:04:29;781,25;72
636929066692490796;08.05.2019 12:04:29;858,3984;73
636929066713171185;08.05.2019 12:04:31;898,4375;73
636929066713171185;08.05.2019 12:04:31;880,8594;72
636929066722397251;08.05.2019 12:04:32;900,3906;71
636929066722397251;08.05.2019 12:04:32;916,9922;71
636929066732410117;08.05.2019 12:04:33;869,1406;71
636929066742412760;08.05.2019 12:04:34;788,0859;70
636929066752415855;08.05.2019 12:04:35;825,1953;71
636929066762424494;08.05.2019 12:04:36;775,3906;71
636929066762424494;08.05.2019 12:04:36;837,8906;71
636929066772423402;08.05.2019 12:04:37;800,7813;72
636929066782431692;08.05.2019 12:04:38;846,6797;72
636929066792432326;08.05.2019 12:04:39;837,8906;72
636929066802430013;08.05.2019 12:04:40;738,2813;72
636929066802430013;08.05.2019 12:04:40;810,5469;72
636929066812587987;08.05.2019 12:04:41;799,8047;73
636929066822434390;08.05.2019 12:04:42;760,7422;73
636929066832435676;08.05.2019 12:04:43;728,5156;74
636929066832435676;08.05.2019 12:04:43;751,9531;74
636929066842439145;08.05.2019 12:04:44;743,1641;75
636929066852448492;08.05.2019 12:04:45;745,1172;75
636929066862449462;08.05.2019 12:04:46;813,4766;76
636929066862449462;08.05.2019 12:04:46;773,4375;76
636929066877456362;08.05.2019 12:04:47;687,5;76
636929066882455136;08.05.2019 12:04:48;676,7578;78
636929066882455136;08.05.2019 12:04:48;702,1484;78
636929066897454780;08.05.2019 12:04:49;707,0313;79
636929066902453676;08.05.2019 12:04:50;725,5859;79
636929066917446244;08.05.2019 12:04:51;684,5703;80
636929066917446244;08.05.2019 12:04:51;790,0391;80
636929066922445062;08.05.2019 12:04:52;770,5078;80
636929066937441842;08.05.2019 12:04:53;699,2188;80
636929066937441842;08.05.2019 12:04:53;653,3203;80
636929066942440951;08.05.2019 12:04:54;629,8828;81
636929066957438711;08.05.2019 12:04:55;787,1094;82
636929066962437535;08.05.2019 12:04:56;865,2344;83
636929066977433810;08.05.2019 12:04:57;881,8359;82
636929066982589043;08.05.2019 12:04:58;865,2344;79
636929066982589043;08.05.2019 12:04:58;839,8438;79
636929066997586692;08.05.2019 12:04:59;786,1328;78
636929067002431620;08.05.2019 12:05:00;702,1484;78
636929067002431620;08.05.2019 12:05:00;649,4141;78
636929067017584229;08.05.2019 12:05:01;676,7578;79
636929067022583120;08.05.2019 12:05:02;771,4844;80
636929067037423858;08.05.2019 12:05:03;878,9063;81
636929067042425466;08.05.2019 12:05:04;900,3906;80
636929067062430137;08.05.2019 12:05:06;893,5547;79
636929067062430137;08.05.2019 12:05:06;850,5859;77
636929067082437989;08.05.2019 12:05:08;873,0469;76
636929067082437989;08.05.2019 12:05:08;873,0469;76
636929067082594357;08.05.2019 12:05:08;841,7969;75
636929067102433470;08.05.2019 12:05:10;807,6172;75
636929067102590705;08.05.2019 12:05:10;751,9531;75
636929067102590705;08.05.2019 12:05:10;747,0703;75
636929067112588270;08.05.2019 12:05:11;721,6797;75
636929067122585281;08.05.2019 12:05:12;680,6641;76
636929067132582626;08.05.2019 12:05:13;812,5;77
636929067142429996;08.05.2019 12:05:14;842,7734;77
636929067142429996;08.05.2019 12:05:14;886,7188;77
636929067152427625;08.05.2019 12:05:15;828,125;76
636929067162582862;08.05.2019 12:05:16;712,8906;76
636929067162582862;08.05.2019 12:05:16;676,7578;76
636929067172424937;08.05.2019 12:05:17;666,9922;77
636929067182422967;08.05.2019 12:05:18;643,5547;78
636929067202418421;08.05.2019 12:05:20;737,3047;80
636929067202418421;08.05.2019 12:05:20;796,875;80
636929067212415545;08.05.2019 12:05:21;715,8203;80
636929067222414354;08.05.2019 12:05:22;726,5625;80
636929067222414354;08.05.2019 12:05:22;767,5781;80
636929067222414354;08.05.2019 12:05:22;816,4063;80
636929067232568477;08.05.2019 12:05:23;750;80
636929067247412781;08.05.2019 12:05:24;751,9531;80
636929067252570480;08.05.2019 12:05:25;763,6719;80
636929067252570480;08.05.2019 12:05:25;759,7656;80
636929067267419710;08.05.2019 12:05:26;742,1875;79
636929067272420169;08.05.2019 12:05:27;749,0234;80
636929067287417741;08.05.2019 12:05:28;788,0859;80
636929067292492702;08.05.2019 12:05:29;835,9375;79
636929067307500295;08.05.2019 12:05:30;848,6328;79
636929067312500402;08.05.2019 12:05:31;814,4531;78
636929067312500402;08.05.2019 12:05:31;898,4375;78
636929067327499782;08.05.2019 12:05:32;913,0859;77
636929067332499554;08.05.2019 12:05:33;852,5391;76
636929067347500627;08.05.2019 12:05:34;803,7109;75
636929067347500627;08.05.2019 12:05:34;736,3281;75
636929067352499393;08.05.2019 12:05:35;683,5938;75
636929067367511153;08.05.2019 12:05:36;696,2891;76
636929067372510276;08.05.2019 12:05:37;933,5938;77
636929067387511843;08.05.2019 12:05:38;845,7031;77
636929067392514138;08.05.2019 12:05:39;779,2969;76
636929067392514138;08.05.2019 12:05:39;817,3828;76
636929067407519412;08.05.2019 12:05:40;845,7031;76
636929067412518178;08.05.2019 12:05:41;811,5234;75
636929067433283667;08.05.2019 12:05:43;781,25;75
636929067433283667;08.05.2019 12:05:43;855,4688;75
636929067433283667;08.05.2019 12:05:43;842,7734;75
636929067452508985;08.05.2019 12:05:45;748,0469;75
636929067452508985;08.05.2019 12:05:45;775,3906;75
636929067473220905;08.05.2019 12:05:47;780,2734;75
636929067473220905;08.05.2019 12:05:47;750;75
636929067473220905;08.05.2019 12:05:47;656,25;76
636929067492447495;08.05.2019 12:05:49;711,9141;78
636929067492447495;08.05.2019 12:05:49;781,25;78
636929067492447495;08.05.2019 12:05:49;677,7344;78
636929067502451379;08.05.2019 12:05:50;714,8438;78
636929067512457965;08.05.2019 12:05:51;745,1172;80
636929067512457965;08.05.2019 12:05:51;743,1641;80
636929067522455640;08.05.2019 12:05:52;781,25;80
636929067532455388;08.05.2019 12:05:53;671,875;80
636929067532455388;08.05.2019 12:05:53;696,2891;80
636929067542452986;08.05.2019 12:05:54;675,7813;81
636929067552450637;08.05.2019 12:05:55;658,2031;82
636929067552450637;08.05.2019 12:05:55;617,1875;82
636929067572447212;08.05.2019 12:05:57;606,4453;85
636929067572447212;08.05.2019 12:05:57;618,1641;85
636929067572447212;08.05.2019 12:05:57;633,7891;87
636929067582443913;08.05.2019 12:05:58;678,7109;89
636929067582443913;08.05.2019 12:05:58;656,25;89
636929067592598704;08.05.2019 12:05:59;616,2109;89
636929067617887118;08.05.2019 12:06:01;622,0703;91
636929067617887118;08.05.2019 12:06:01;627,9297;91
636929067617887118;08.05.2019 12:06:01;634,7656;92
636929067622573808;08.05.2019 12:06:02;638,6719;92
636929067622573808;08.05.2019 12:06:02;617,1875;92
636929067637573684;08.05.2019 12:06:03;653,3203;93
636929067642572511;08.05.2019 12:06:04;653,3203;93
636929067642572511;08.05.2019 12:06:04;633,7891;93
636929067657412127;08.05.2019 12:06:05;677,7344;93
636929067678141813;08.05.2019 12:06:07;674,8047;92
636929067678141813;08.05.2019 12:06:07;693,3594;92
