UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636924045207167330;02.05.2019 16:35:20;728,5156;83
636924045207167330;02.05.2019 16:35:20;773,4375;83
636924045217373651;02.05.2019 16:35:21;764,6484;82
636924045226973515;02.05.2019 16:35:22;722,6563;82
636924045226973515;02.05.2019 16:35:22;743,1641;82
636924045237232596;02.05.2019 16:35:23;733,3984;82
636924045247372833;02.05.2019 16:35:24;723,6328;82
636924045256968284;02.05.2019 16:35:25;682,6172;82
636924045256968284;02.05.2019 16:35:25;695,3125;82
636924045271569168;02.05.2019 16:35:27;686,5234;83
636924045281639975;02.05.2019 16:35:28;697,2656;84
636924045281639975;02.05.2019 16:35:28;672,8516;84
636924045291573654;02.05.2019 16:35:29;682,6172;84
636924045301573529;02.05.2019 16:35:30;682,6172;85
636924045301573529;02.05.2019 16:35:30;688,4766;85
636924045311634736;02.05.2019 16:35:31;670,8984;86
636924045311634736;02.05.2019 16:35:31;657,2266;86
636924045321636099;02.05.2019 16:35:32;622,0703;86
636924045331638316;02.05.2019 16:35:33;588,8672;89
636924045331638316;02.05.2019 16:35:33;607,4219;89
636924045341574490;02.05.2019 16:35:34;605,4688;91
636924045351642973;02.05.2019 16:35:35;618,1641;93
636924045351642973;02.05.2019 16:35:35;644,5313;93
636924045361575959;02.05.2019 16:35:36;669,9219;93
636924045371642887;02.05.2019 16:35:37;699,2188;93
636924045381573754;02.05.2019 16:35:38;717,7734;91
636924045381573754;02.05.2019 16:35:38;736,3281;91
636924045391642572;02.05.2019 16:35:39;741,2109;90
636924045401577098;02.05.2019 16:35:40;746,0938;87
636924045401577098;02.05.2019 16:35:40;738,2813;87
636924045411641455;02.05.2019 16:35:41;704,1016;86
636924045421576333;02.05.2019 16:35:42;671,875;86
636924045421576333;02.05.2019 16:35:42;680,6641;86
636924045431574668;02.05.2019 16:35:43;685,5469;86
636924045441643098;02.05.2019 16:35:44;685,5469;87
636924045441643098;02.05.2019 16:35:44;645,5078;87
636924045451643001;02.05.2019 16:35:45;665,0391;87
636924045461643669;02.05.2019 16:35:46;669,9219;88
636924045461643669;02.05.2019 16:35:46;698,2422;88
636924045471577699;02.05.2019 16:35:47;692,3828;88
636924045481639723;02.05.2019 16:35:48;667,9688;88
636924045491577981;02.05.2019 16:35:49;684,5703;88
636924045491577981;02.05.2019 16:35:49;692,3828;88
636924045501570778;02.05.2019 16:35:50;681,6406;88
636924045511577923;02.05.2019 16:35:51;646,4844;88
636924045511577923;02.05.2019 16:35:51;651,3672;88
636924045521643918;02.05.2019 16:35:52;636,7188;89
636924045521643918;02.05.2019 16:35:52;643,5547;89
636924045531578815;02.05.2019 16:35:53;629,8828;90
636924045541639754;02.05.2019 16:35:54;627,9297;91
636924045541639754;02.05.2019 16:35:54;655,2734;91
636924045551574540;02.05.2019 16:35:55;682,6172;92
636924045561579674;02.05.2019 16:35:56;725,5859;91
636924045571573695;02.05.2019 16:35:57;694,3359;90
636924045571573695;02.05.2019 16:35:57;725,5859;90
636924045581645655;02.05.2019 16:35:58;726,5625;89
636924045591644755;02.05.2019 16:35:59;713,8672;87
636924045591644755;02.05.2019 16:35:59;661,1328;87
636924045601646370;02.05.2019 16:36:00;665,0391;87
636924045611644469;02.05.2019 16:36:01;655,2734;88
636924045611644469;02.05.2019 16:36:01;655,2734;88
636924045621645686;02.05.2019 16:36:02;625;89
636924045621645686;02.05.2019 16:36:02;635,7422;89
636924045631646209;02.05.2019 16:36:03;633,7891;90
636924045641581395;02.05.2019 16:36:04;640,625;91
636924045641581395;02.05.2019 16:36:04;637,6953;91
636924045651581453;02.05.2019 16:36:05;652,3438;92
636924045661643721;02.05.2019 16:36:06;649,4141;92
636924045661643721;02.05.2019 16:36:06;641,6016;92
636924045671576319;02.05.2019 16:36:07;619,1406;92
636924045681582705;02.05.2019 16:36:08;640,625;93
636924045681582705;02.05.2019 16:36:08;639,6484;93
636924045691647467;02.05.2019 16:36:09;644,5313;93
636924045691647467;02.05.2019 16:36:09;619,1406;93
636924045701577219;02.05.2019 16:36:10;614,2578;94
636924045711575732;02.05.2019 16:36:11;612,3047;95
636924045711575732;02.05.2019 16:36:11;619,1406;95
636924045721582506;02.05.2019 16:36:12;625,9766;95
636924045731648786;02.05.2019 16:36:13;605,4688;96
636924045731648786;02.05.2019 16:36:13;613,2813;96
636924045741643658;02.05.2019 16:36:14;608,3984;97
636924045741643658;02.05.2019 16:36:14;613,2813;97
636924045751649974;02.05.2019 16:36:15;606,4453;97
636924045761650493;02.05.2019 16:36:16;597,6563;98
636924045761650493;02.05.2019 16:36:16;621,0938;98
636924045771579145;02.05.2019 16:36:17;631,8359;97
636924045771579145;02.05.2019 16:36:17;642,5781;97
636924045781577760;02.05.2019 16:36:18;627,9297;97
636924045791583617;02.05.2019 16:36:19;606,4453;97
636924045791583617;02.05.2019 16:36:19;608,3984;97
636924045801586750;02.05.2019 16:36:20;606,4453;97
636924045811585639;02.05.2019 16:36:21;621,0938;97
636924045811585639;02.05.2019 16:36:21;625,9766;97
636924045821584307;02.05.2019 16:36:22;617,1875;97
636924045821584307;02.05.2019 16:36:22;598,6328;97
636924045831584850;02.05.2019 16:36:23;601,5625;97
636924045841652487;02.05.2019 16:36:24;605,4688;98
636924045841652487;02.05.2019 16:36:24;625;98
636924045851585833;02.05.2019 16:36:25;642,5781;97
636924045851585833;02.05.2019 16:36:25;623,0469;97
636924045871584534;02.05.2019 16:36:27;609,375;97
