UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636922359741836082;30.04.2019 17:46:14;750,9766;86
636922359741836082;30.04.2019 17:46:14;731,4453;86
636922359751972388;30.04.2019 17:46:15;752,9297;86
636922359762171111;30.04.2019 17:46:16;685,5469;85
636922359762171111;30.04.2019 17:46:16;703,125;85
636922359771768746;30.04.2019 17:46:17;704,1016;85
636922359781971864;30.04.2019 17:46:18;702,1484;85
636922359792174073;30.04.2019 17:46:19;748,0469;85
636922359792174073;30.04.2019 17:46:19;673,8281;85
636922359801772544;30.04.2019 17:46:20;702,1484;85
636922359811971412;30.04.2019 17:46:21;703,125;85
636922359811971412;30.04.2019 17:46:21;694,3359;85
636922359822170854;30.04.2019 17:46:22;675,7813;85
636922359831770555;30.04.2019 17:46:23;682,6172;86
636922359831770555;30.04.2019 17:46:23;674,8047;86
636922359841972714;30.04.2019 17:46:24;714,8438;86
636922359852173996;30.04.2019 17:46:25;659,1797;86
636922359852173996;30.04.2019 17:46:25;659,1797;86
636922359861771472;30.04.2019 17:46:26;651,3672;87
636922359871973956;30.04.2019 17:46:27;646,4844;88
636922359871973956;30.04.2019 17:46:27;696,2891;88
636922359882173987;30.04.2019 17:46:28;667,9688;88
636922359891772422;30.04.2019 17:46:29;730,4688;88
636922359891772422;30.04.2019 17:46:29;697,2656;88
636922359901977837;30.04.2019 17:46:30;701,1719;87
636922359912235632;30.04.2019 17:46:31;645,5078;88
636922359912235632;30.04.2019 17:46:31;637,6953;88
636922359926575015;30.04.2019 17:46:32;634,7656;88
636922359936576198;30.04.2019 17:46:33;618,1641;90
636922359936576198;30.04.2019 17:46:33;610,3516;90
636922359946577503;30.04.2019 17:46:34;621,0938;91
636922359956571665;30.04.2019 17:46:35;650,3906;93
636922359956571665;30.04.2019 17:46:35;675,7813;93
636922359966637632;30.04.2019 17:46:36;696,2891;92
636922359976573014;30.04.2019 17:46:37;644,5313;91
636922359976573014;30.04.2019 17:46:37;665,0391;91
636922359986641278;30.04.2019 17:46:38;672,8516;91
636922359986641278;30.04.2019 17:46:38;619,1406;91
636922359996573887;30.04.2019 17:46:39;616,2109;91
636922360006643622;30.04.2019 17:46:40;615,2344;93
636922360006643622;30.04.2019 17:46:40;595,7031;93
636922360016578095;30.04.2019 17:46:41;623,0469;94
636922360026578891;30.04.2019 17:46:42;675,7813;94
636922360026578891;30.04.2019 17:46:42;717,7734;94
636922360036639017;30.04.2019 17:46:43;741,2109;93
636922360046639258;30.04.2019 17:46:44;735,3516;91
636922360056646816;30.04.2019 17:46:45;713,8672;89
636922360056646816;30.04.2019 17:46:45;662,1094;89
636922360066577275;30.04.2019 17:46:46;667,9688;89
636922360066577275;30.04.2019 17:46:46;662,1094;89
636922360076644425;30.04.2019 17:46:47;647,4609;89
636922360086578525;30.04.2019 17:46:48;644,5313;90
636922360086578525;30.04.2019 17:46:48;645,5078;90
636922360096577547;30.04.2019 17:46:49;630,8594;90
636922360106580844;30.04.2019 17:46:50;618,1641;92
636922360106580844;30.04.2019 17:46:50;623,0469;92
636922360116645179;30.04.2019 17:46:51;654,2969;93
636922360126572829;30.04.2019 17:46:52;669,9219;92
636922360126572829;30.04.2019 17:46:52;639,6484;92
636922360136637820;30.04.2019 17:46:53;656,25;92
636922360146579810;30.04.2019 17:46:54;656,25;92
636922360146579810;30.04.2019 17:46:54;667,9688;92
636922360156645614;30.04.2019 17:46:55;701,1719;92
636922360166574039;30.04.2019 17:46:56;685,5469;91
636922360166574039;30.04.2019 17:46:56;681,6406;91
636922360176578126;30.04.2019 17:46:57;656,25;90
636922360186646994;30.04.2019 17:46:58;654,2969;90
636922360186646994;30.04.2019 17:46:58;661,1328;90
636922360196638743;30.04.2019 17:46:59;664,0625;90
636922360206643902;30.04.2019 17:47:00;706,0547;90
636922360216579694;30.04.2019 17:47:01;711,9141;89
636922360216579694;30.04.2019 17:47:01;748,0469;89
636922360226581933;30.04.2019 17:47:02;692,3828;88
636922360236581988;30.04.2019 17:47:03;768,5547;88
636922360246578705;30.04.2019 17:47:04;750,9766;86
636922360246578705;30.04.2019 17:47:04;778,3203;86
636922360266580190;30.04.2019 17:47:06;711,9141;85
636922360267392515;30.04.2019 17:47:06;798,8281;84
636922360267392515;30.04.2019 17:47:06;736,3281;84
636922360276575364;30.04.2019 17:47:07;733,3984;83
636922360286644195;30.04.2019 17:47:08;682,6172;83
636922360296583210;30.04.2019 17:47:09;709,9609;84
636922360296583210;30.04.2019 17:47:09;741,2109;84
636922360306576223;30.04.2019 17:47:10;731,4453;83
636922360316581068;30.04.2019 17:47:11;742,1875;83
636922360326651585;30.04.2019 17:47:12;694,3359;83
636922360326651585;30.04.2019 17:47:12;787,1094;83
636922360336649922;30.04.2019 17:47:13;771,4844;83
636922360346650227;30.04.2019 17:47:14;805,6641;82
636922360356650371;30.04.2019 17:47:15;727,5391;82
636922360366648880;30.04.2019 17:47:16;800,7813;81
636922360366648880;30.04.2019 17:47:16;755,8594;81
636922360376577721;30.04.2019 17:47:17;766,6016;81
636922360386584986;30.04.2019 17:47:18;705,0781;80
636922360386584986;30.04.2019 17:47:18;717,7734;80
636922360396651288;30.04.2019 17:47:19;730,4688;81
636922360406583722;30.04.2019 17:47:20;762,6953;81
636922360416652737;30.04.2019 17:47:21;740,2344;81
636922360416652737;30.04.2019 17:47:21;694,3359;81
636922360426584764;30.04.2019 17:47:22;764,6484;81
636922360436645855;30.04.2019 17:47:23;750,9766;81
636922360446581470;30.04.2019 17:47:24;761,7188;81
636922360446581470;30.04.2019 17:47:24;692,3828;81
636922360456647271;30.04.2019 17:47:25;718,75;81
636922360466624150;30.04.2019 17:47:26;735,3516;82
636922360466624150;30.04.2019 17:47:26;727,5391;82
636922360476582542;30.04.2019 17:47:27;682,6172;82
636922360486653056;30.04.2019 17:47:28;699,2188;82
636922360496585748;30.04.2019 17:47:29;749,0234;83
636922360496585748;30.04.2019 17:47:29;740,2344;83
636922360506653546;30.04.2019 17:47:30;768,5547;82
636922360516588108;30.04.2019 17:47:31;707,0313;82
636922360526653696;30.04.2019 17:47:32;820,3125;82
636922360526653696;30.04.2019 17:47:32;776,3672;82
636922360536590247;30.04.2019 17:47:33;775,3906;81
636922360546590560;30.04.2019 17:47:34;708,0078;81
636922360556590563;30.04.2019 17:47:35;776,3672;81
636922360556590563;30.04.2019 17:47:35;749,0234;81
636922360566583764;30.04.2019 17:47:36;706,0547;80
636922360576590289;30.04.2019 17:47:37;715,8203;81
636922360586584717;30.04.2019 17:47:38;766,6016;81
636922360586584717;30.04.2019 17:47:38;750;81
636922360596590765;30.04.2019 17:47:39;755,8594;81
636922360606655998;30.04.2019 17:47:40;706,0547;81
636922360616632443;30.04.2019 17:47:41;791,9922;81
636922360616632443;30.04.2019 17:47:41;759,7656;81
636922360626590247;30.04.2019 17:47:42;756,8359;80
636922360636590289;30.04.2019 17:47:43;691,4063;80
636922360646656696;30.04.2019 17:47:44;725,5859;81
636922360646656696;30.04.2019 17:47:44;764,6484;81
636922360656590726;30.04.2019 17:47:45;758,7891;81
636922360666589186;30.04.2019 17:47:46;712,8906;81
636922360676582312;30.04.2019 17:47:47;774,4141;81
636922360676582312;30.04.2019 17:47:47;751,9531;81
636922360686649038;30.04.2019 17:47:48;763,6719;81
636922360696658253;30.04.2019 17:47:49;703,125;80
636922360706591486;30.04.2019 17:47:50;731,4453;81
636922360706591486;30.04.2019 17:47:50;758,7891;81
636922360716657760;30.04.2019 17:47:51;720,7031;81
636922360726591328;30.04.2019 17:47:52;678,7109;81
636922360726591328;30.04.2019 17:47:52;707,0313;81
636922360736592558;30.04.2019 17:47:53;740,2344;82
636922360746589480;30.04.2019 17:47:54;743,1641;82
636922360756592513;30.04.2019 17:47:55;728,5156;82
636922360756592513;30.04.2019 17:47:55;712,8906;82
636922360766661329;30.04.2019 17:47:56;763,6719;82
636922360776657020;30.04.2019 17:47:57;748,0469;82
636922360796591333;30.04.2019 17:47:59;712,8906;82
636922360796591333;30.04.2019 17:47:59;729,4922;82
636922360796601329;30.04.2019 17:47:59;781,25;82
636922360806660209;30.04.2019 17:48:00;749,0234;81
636922360806660209;30.04.2019 17:48:00;698,2422;81
636922360816660021;30.04.2019 17:48:01;709,9609;81
636922360826656394;30.04.2019 17:48:02;714,8438;82
636922360836587726;30.04.2019 17:48:03;740,2344;82
636922360836587726;30.04.2019 17:48:03;686,5234;82
636922360846653385;30.04.2019 17:48:04;692,3828;82
636922360856590829;30.04.2019 17:48:05;684,5703;83
636922360856590829;30.04.2019 17:48:05;676,7578;83
636922360866589131;30.04.2019 17:48:06;722,6563;84
636922360876596140;30.04.2019 17:48:07;736,3281;84
636922360886662240;30.04.2019 17:48:08;773,4375;83
636922360886662240;30.04.2019 17:48:08;735,3516;83
636922360896609824;30.04.2019 17:48:09;697,2656;83
636922360906594492;30.04.2019 17:48:10;759,7656;83
636922360906594492;30.04.2019 17:48:10;722,6563;83
636922360916660206;30.04.2019 17:48:11;724,6094;83
636922360926655372;30.04.2019 17:48:12;670,8984;83
636922360936596337;30.04.2019 17:48:13;700,1953;84
636922360936596337;30.04.2019 17:48:13;721,6797;84
636922360946662827;30.04.2019 17:48:14;707,0313;84
636922360956596866;30.04.2019 17:48:15;667,9688;84
636922360956596866;30.04.2019 17:48:15;728,5156;84
636922360966597802;30.04.2019 17:48:16;714,8438;84
636922360976660007;30.04.2019 17:48:17;737,3047;84
636922360986662329;30.04.2019 17:48:18;677,7344;84
636922360986662329;30.04.2019 17:48:18;747,0703;84
636922360996662564;30.04.2019 17:48:19;715,8203;84
636922361006599639;30.04.2019 17:48:20;708,9844;84
636922361006599639;30.04.2019 17:48:20;666,9922;84
636922361016663118;30.04.2019 17:48:21;674,8047;84
636922361026599983;30.04.2019 17:48:22;674,8047;85
636922361026599983;30.04.2019 17:48:22;705,0781;85
636922361036664736;30.04.2019 17:48:23;692,3828;86
636922361046598656;30.04.2019 17:48:24;667,9688;86
636922361046598656;30.04.2019 17:48:24;695,3125;86
636922361056665113;30.04.2019 17:48:25;721,6797;86
636922361066599553;30.04.2019 17:48:26;703,125;86
636922361076594719;30.04.2019 17:48:27;698,2422;86
636922361076594719;30.04.2019 17:48:27;661,1328;86
636922361086660245;30.04.2019 17:48:28;675,7813;86
636922361096666377;30.04.2019 17:48:29;696,2891;87
636922361096666377;30.04.2019 17:48:29;683,5938;87
636922361106661209;30.04.2019 17:48:30;680,6641;87
636922361116600376;30.04.2019 17:48:31;671,875;87
636922361116600376;30.04.2019 17:48:31;657,2266;87
636922361126666839;30.04.2019 17:48:32;650,3906;88
636922361126666839;30.04.2019 17:48:32;630,8594;88
636922361136602158;30.04.2019 17:48:33;646,4844;89
636922361146596187;30.04.2019 17:48:34;662,1094;90
636922361156597656;30.04.2019 17:48:35;692,3828;90
636922361156597656;30.04.2019 17:48:35;684,5703;90
636922361166662384;30.04.2019 17:48:36;680,6641;89
636922361176602551;30.04.2019 17:48:37;683,5938;89
636922361176602551;30.04.2019 17:48:37;695,3125;89
636922361186603277;30.04.2019 17:48:38;707,0313;89
636922361196601922;30.04.2019 17:48:39;713,8672;88
636922361196601922;30.04.2019 17:48:39;694,3359;88
636922361206602066;30.04.2019 17:48:40;668,9453;87
636922361216602371;30.04.2019 17:48:41;675,7813;88
636922361216602371;30.04.2019 17:48:41;653,3203;88
636922361226667222;30.04.2019 17:48:42;643,5547;88
636922361236669106;30.04.2019 17:48:43;639,6484;89
636922361236669106;30.04.2019 17:48:43;650,3906;89
636922361246595558;30.04.2019 17:48:44;663,0859;90
636922361256670809;30.04.2019 17:48:45;678,7109;90
636922361256670809;30.04.2019 17:48:45;696,2891;90
636922361266604166;30.04.2019 17:48:46;688,4766;90
636922361286600146;30.04.2019 17:48:48;695,3125;89
636922361286600146;30.04.2019 17:48:48;700,1953;89
636922361286609195;30.04.2019 17:48:48;693,3594;88
636922361296670474;30.04.2019 17:48:49;688,4766;88
636922361306605657;30.04.2019 17:48:50;679,6875;88
636922361306605657;30.04.2019 17:48:50;671,875;88
636922361316671142;30.04.2019 17:48:51;683,5938;88
636922361326597908;30.04.2019 17:48:52;688,4766;88
636922361326597908;30.04.2019 17:48:52;703,125;88
636922361336672488;30.04.2019 17:48:53;698,2422;88
636922361346607408;30.04.2019 17:48:54;724,6094;87
636922361346607408;30.04.2019 17:48:54;730,4688;87
636922361356605161;30.04.2019 17:48:55;728,5156;86
636922361366606596;30.04.2019 17:48:56;684,5703;86
636922361376672189;30.04.2019 17:48:57;726,5625;86
