UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636918833988261616;26.04.2019 15:49:58;646,4844;91
636918833988261616;26.04.2019 15:49:58;636,7188;91
636918833998459406;26.04.2019 15:49:59;631,8359;91
636918834008064230;26.04.2019 15:50:00;612,3047;93
636918834008064230;26.04.2019 15:50:00;616,2109;93
636918834018860318;26.04.2019 15:50:01;623,0469;93
636918834028466175;26.04.2019 15:50:02;645,5078;94
636918834028466175;26.04.2019 15:50:02;693,3594;94
636918834038067411;26.04.2019 15:50:03;721,6797;93
636918834048259823;26.04.2019 15:50:04;735,3516;92
636918834058467502;26.04.2019 15:50:05;713,8672;89
636918834058467502;26.04.2019 15:50:05;730,4688;89
636918834068068851;26.04.2019 15:50:06;734,375;88
636918834078268359;26.04.2019 15:50:07;741,2109;87
636918834078268359;26.04.2019 15:50:07;732,4219;87
636918834088460523;26.04.2019 15:50:08;690,4297;86
636918834098060357;26.04.2019 15:50:09;680,6641;86
636918834098060357;26.04.2019 15:50:09;662,1094;86
636918834108268972;26.04.2019 15:50:10;655,2734;86
636918834118464006;26.04.2019 15:50:11;653,3203;88
636918834118464006;26.04.2019 15:50:11;661,1328;88
636918834128070627;26.04.2019 15:50:12;670,8984;88
636918834138269446;26.04.2019 15:50:13;697,2656;88
636918834148468995;26.04.2019 15:50:14;688,4766;88
636918834148468995;26.04.2019 15:50:14;709,9609;88
636918834158069982;26.04.2019 15:50:15;690,4297;88
636918834168269592;26.04.2019 15:50:16;695,3125;87
636918834168269592;26.04.2019 15:50:16;682,6172;87
636918834178469821;26.04.2019 15:50:17;654,2969;88
636918834178469821;26.04.2019 15:50:17;619,1406;88
636918834188068450;26.04.2019 15:50:18;621,0938;89
636918834198268573;26.04.2019 15:50:19;629,8828;91
636918834198268573;26.04.2019 15:50:19;644,5313;91
636918834208469483;26.04.2019 15:50:20;666,9922;91
636918834218070732;26.04.2019 15:50:21;697,2656;91
636918834232868693;26.04.2019 15:50:23;708,9844;90
636918834232868693;26.04.2019 15:50:23;717,7734;90
636918834242871852;26.04.2019 15:50:24;730,4688;89
636918834252871935;26.04.2019 15:50:25;732,4219;88
636918834262871586;26.04.2019 15:50:26;732,4219;87
636918834262871586;26.04.2019 15:50:26;731,4453;87
636918834272940584;26.04.2019 15:50:27;724,6094;86
636918834282909936;26.04.2019 15:50:28;705,0781;85
636918834282909936;26.04.2019 15:50:28;695,3125;85
636918834292940440;26.04.2019 15:50:29;685,5469;85
636918834302865069;26.04.2019 15:50:30;683,5938;86
636918834302865069;26.04.2019 15:50:30;692,3828;86
636918834312939451;26.04.2019 15:50:31;706,0547;86
636918834322868405;26.04.2019 15:50:32;728,5156;86
636918834332872411;26.04.2019 15:50:33;739,2578;85
636918834332872411;26.04.2019 15:50:33;733,3984;85
636918834342872877;26.04.2019 15:50:34;701,1719;85
636918834352874002;26.04.2019 15:50:35;708,0078;85
636918834352874002;26.04.2019 15:50:35;695,3125;85
636918834362940986;26.04.2019 15:50:36;692,3828;85
636918834372869430;26.04.2019 15:50:37;674,8047;85
636918834372869430;26.04.2019 15:50:37;681,6406;85
636918834382939603;26.04.2019 15:50:38;692,3828;86
636918834392869890;26.04.2019 15:50:39;725,5859;86
636918834402873046;26.04.2019 15:50:40;716,7969;85
636918834402873046;26.04.2019 15:50:40;731,4453;85
636918834412876504;26.04.2019 15:50:41;734,375;85
636918834422934749;26.04.2019 15:50:42;710,9375;85
636918834422934749;26.04.2019 15:50:42;694,3359;85
636918834432918322;26.04.2019 15:50:43;699,2188;85
636918834442940382;26.04.2019 15:50:44;699,2188;85
636918834442940382;26.04.2019 15:50:44;687,5;85
636918834452937592;26.04.2019 15:50:45;677,7344;85
636918834462869450;26.04.2019 15:50:46;684,5703;85
636918834472869954;26.04.2019 15:50:47;698,2422;86
636918834472869954;26.04.2019 15:50:47;697,2656;86
636918834482876542;26.04.2019 15:50:48;693,3594;86
636918834492942521;26.04.2019 15:50:49;700,1953;86
636918834492942521;26.04.2019 15:50:49;711,9141;86
636918834502944335;26.04.2019 15:50:50;696,2891;86
636918834522871444;26.04.2019 15:50:52;714,8438;86
636918834522881108;26.04.2019 15:50:52;713,8672;85
636918834522881108;26.04.2019 15:50:52;716,7969;85
636918834532875115;26.04.2019 15:50:53;707,0313;85
636918834542874766;26.04.2019 15:50:54;715,8203;85
636918834542874766;26.04.2019 15:50:54;688,4766;85
636918834552870630;26.04.2019 15:50:55;666,0156;85
636918834562873376;26.04.2019 15:50:56;648,4375;86
636918834562873376;26.04.2019 15:50:56;641,6016;86
636918834572939664;26.04.2019 15:50:57;642,5781;88
636918834572939664;26.04.2019 15:50:57;649,4141;88
636918834582947873;26.04.2019 15:50:58;621,0938;89
636918834592938974;26.04.2019 15:50:59;619,1406;91
636918834592938974;26.04.2019 15:50:59;611,3281;91
636918834602944089;26.04.2019 15:51:00;609,375;93
636918834602944089;26.04.2019 15:51:00;606,4453;93
636918834612881859;26.04.2019 15:51:01;606,4453;94
636918834622939348;26.04.2019 15:51:02;598,6328;95
636918834622939348;26.04.2019 15:51:02;586,9141;95
636918834632948727;26.04.2019 15:51:03;580,0781;98
636918834632948727;26.04.2019 15:51:03;582,0313;98
636918834642876772;26.04.2019 15:51:04;587,8906;99
636918834652880479;26.04.2019 15:51:05;611,3281;100
636918834652880479;26.04.2019 15:51:05;643,5547;100
636918834662940623;26.04.2019 15:51:06;668,9453;99
636918834672882707;26.04.2019 15:51:07;679,6875;96
636918834672882707;26.04.2019 15:51:07;696,2891;96
636918834682880515;26.04.2019 15:51:08;684,5703;94
636918834692879643;26.04.2019 15:51:09;667,9688;92
636918834692879643;26.04.2019 15:51:09;658,2031;92
636918834702948009;26.04.2019 15:51:10;652,3438;92
636918834712881895;26.04.2019 15:51:11;656,25;92
636918834712881895;26.04.2019 15:51:11;665,0391;92
636918834722949295;26.04.2019 15:51:12;675,7813;92
636918834732950486;26.04.2019 15:51:13;696,2891;91
636918834742950455;26.04.2019 15:51:14;701,1719;90
636918834742950455;26.04.2019 15:51:14;693,3594;90
636918834752881590;26.04.2019 15:51:15;690,4297;89
636918834762950419;26.04.2019 15:51:16;680,6641;89
636918834762950419;26.04.2019 15:51:16;655,2734;89
636918834772879607;26.04.2019 15:51:17;624,0234;90
636918834772879607;26.04.2019 15:51:17;628,9063;90
636918834782877919;26.04.2019 15:51:18;633,7891;91
636918834792951553;26.04.2019 15:51:19;651,3672;92
636918834792951553;26.04.2019 15:51:19;662,1094;92
636918834802883037;26.04.2019 15:51:20;678,7109;92
636918834812951281;26.04.2019 15:51:21;669,9219;91
636918834812951281;26.04.2019 15:51:21;663,0859;91
636918834822884172;26.04.2019 15:51:22;669,9219;91
636918834832949904;26.04.2019 15:51:23;687,5;91
636918834842880191;26.04.2019 15:51:24;668,9453;90
636918834842880191;26.04.2019 15:51:24;681,6406;90
636918834852882987;26.04.2019 15:51:25;685,5469;90
636918834862904231;26.04.2019 15:51:26;683,5938;89
636918834862904231;26.04.2019 15:51:26;684,5703;89
636918834872879637;26.04.2019 15:51:27;694,3359;89
636918834882945119;26.04.2019 15:51:28;688,4766;88
636918834882945119;26.04.2019 15:51:28;672,8516;88
636918834892887073;26.04.2019 15:51:29;666,9922;88
636918834902950461;26.04.2019 15:51:30;651,3672;89
636918834902950461;26.04.2019 15:51:30;642,5781;89
