UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636935025169946191;15.05.2019 09:35:16;0;82
636935025179011578;15.05.2019 09:35:17;0;82
636935025189170001;15.05.2019 09:35:18;612,3047;81
636935025199485495;15.05.2019 09:35:19;0;81
636935025209018460;15.05.2019 09:35:20;3073,242;81
636935025219185973;15.05.2019 09:35:21;0;81
636935025229498614;15.05.2019 09:35:22;0;81
636935025239043156;15.05.2019 09:35:23;0;81
636935025249202402;15.05.2019 09:35:24;0;81
636935025259355332;15.05.2019 09:35:25;566,4063;80
636935025259355332;15.05.2019 09:35:25;907,2266;80
636935025269040746;15.05.2019 09:35:26;4968,75;80
636935025279194589;15.05.2019 09:35:27;640,625;79
636935025279194589;15.05.2019 09:35:27;744,1406;79
636935025289357382;15.05.2019 09:35:28;753,9063;79
636935025299048880;15.05.2019 09:35:29;712,8906;80
636935025299048880;15.05.2019 09:35:29;726,5625;80
636935025309365181;15.05.2019 09:35:30;707,0313;81
636935025319377427;15.05.2019 09:35:31;678,7109;81
636935025329070554;15.05.2019 09:35:32;775,3906;82
636935025339228088;15.05.2019 09:35:33;739,2578;81
636935025339228088;15.05.2019 09:35:33;752,9297;81
636935025349383126;15.05.2019 09:35:34;775,3906;81
636935025359067765;15.05.2019 09:35:35;760,7422;81
636935025373754776;15.05.2019 09:35:37;754,8828;81
636935025373754776;15.05.2019 09:35:37;745,1172;81
636935025383910590;15.05.2019 09:35:38;759,7656;80
636935025393751313;15.05.2019 09:35:39;778,3203;80
636935025403905198;15.05.2019 09:35:40;834,9609;80
636935025413906924;15.05.2019 09:35:41;873,0469;80
636935025423752842;15.05.2019 09:35:42;941,4063;79
636935025433909129;15.05.2019 09:35:43;929,6875;77
636935025443754272;15.05.2019 09:35:44;925,7813;75
636935025443754272;15.05.2019 09:35:44;887,6953;75
636935025453912014;15.05.2019 09:35:45;869,1406;74
636935025463952117;15.05.2019 09:35:46;859,375;73
636935025473797554;15.05.2019 09:35:47;864,2578;73
636935025483951397;15.05.2019 09:35:48;841,7969;73
636935025493950613;15.05.2019 09:35:49;800,7813;73
636935025493950613;15.05.2019 09:35:49;836,9141;73
636935025503793126;15.05.2019 09:35:50;771,4844;73
