UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636928393590108589;07.05.2019 17:22:39;885,7422;73
636928393590108589;07.05.2019 17:22:39;867,1875;73
636928393590108589;07.05.2019 17:22:39;834,9609;72
636928393600127841;07.05.2019 17:22:40;789,0625;72
636928393614977491;07.05.2019 17:22:41;750,9766;72
636928393620143961;07.05.2019 17:22:42;770,5078;73
636928393620143961;07.05.2019 17:22:42;784,1797;73
636928393629994012;07.05.2019 17:22:42;793,9453;74
636928393640153719;07.05.2019 17:22:44;798,8281;74
636928393659997919;07.05.2019 17:22:45;761,7188;74
636928393659997919;07.05.2019 17:22:45;761,7188;74
636928393665152918;07.05.2019 17:22:46;775,3906;75
636928393679996198;07.05.2019 17:22:47;770,5078;75
636928393679996198;07.05.2019 17:22:47;749,0234;76
636928393679996198;07.05.2019 17:22:47;722,6563;76
636928393690150192;07.05.2019 17:22:49;688,4766;76
636928393700150416;07.05.2019 17:22:50;680,6641;78
636928393700150416;07.05.2019 17:22:50;681,6406;78
636928393710149363;07.05.2019 17:22:51;678,7109;79
636928393724992308;07.05.2019 17:22:52;687,5;81
636928393724992308;07.05.2019 17:22:52;708,9844;81
636928393730147263;07.05.2019 17:22:53;718,75;81
636928393739988826;07.05.2019 17:22:53;726,5625;82
636928393755145299;07.05.2019 17:22:55;728,5156;82
636928393755145299;07.05.2019 17:22:55;702,1484;82
636928393759990674;07.05.2019 17:22:55;719,7266;82
636928393769992408;07.05.2019 17:22:56;710,9375;83
636928393769992408;07.05.2019 17:22:56;719,7266;83
636928393785147474;07.05.2019 17:22:58;706,0547;83
636928393790147972;07.05.2019 17:22:59;679,6875;83
636928393790147972;07.05.2019 17:22:59;674,8047;83
636928393799989311;07.05.2019 17:22:59;662,1094;84
636928393814991419;07.05.2019 17:23:01;667,9688;85
636928393814991419;07.05.2019 17:23:01;662,1094;85
636928393819991799;07.05.2019 17:23:01;665,0391;86
636928393830146853;07.05.2019 17:23:03;655,2734;87
636928393845009201;07.05.2019 17:23:04;681,6406;87
636928393850024943;07.05.2019 17:23:05;874,0234;87
636928393860197712;07.05.2019 17:23:06;913,0859;80
636928393860197712;07.05.2019 17:23:06;863,2813;80
636928393870069978;07.05.2019 17:23:07;830,0781;79
636928393880028290;07.05.2019 17:23:08;805,6641;78
636928393890045802;07.05.2019 17:23:09;746,0938;77
636928393890045802;07.05.2019 17:23:09;722,6563;77
636928393910759374;07.05.2019 17:23:11;701,1719;78
636928393910759374;07.05.2019 17:23:11;705,0781;79
636928393910759374;07.05.2019 17:23:11;715,8203;79
636928393920150394;07.05.2019 17:23:12;715,8203;80
636928393945025799;07.05.2019 17:23:14;713,8672;80
636928393960049859;07.05.2019 17:23:16;708,0078;81
636928393960049859;07.05.2019 17:23:16;733,3984;81
636928393970069175;07.05.2019 17:23:17;749,0234;81
636928393975078791;07.05.2019 17:23:17;740,2344;81
636928393990116654;07.05.2019 17:23:19;737,3047;81
636928393990116654;07.05.2019 17:23:19;722,6563;81
636928393990116654;07.05.2019 17:23:19;690,4297;81
636928394000137649;07.05.2019 17:23:20;681,6406;82
636928394000137649;07.05.2019 17:23:20;669,9219;82
636928394014988818;07.05.2019 17:23:21;668,9453;84
636928394014988818;07.05.2019 17:23:21;654,2969;84
636928394015145033;07.05.2019 17:23:21;646,4844;85
636928394019990496;07.05.2019 17:23:21;662,1094;86
636928394030175808;07.05.2019 17:23:23;676,7578;87
636928394030175808;07.05.2019 17:23:23;689,4531;87
636928394045059048;07.05.2019 17:23:24;665,0391;87
636928394050077874;07.05.2019 17:23:25;644,5313;88
636928394050077874;07.05.2019 17:23:25;666,0156;88
636928394060115712;07.05.2019 17:23:26;679,6875;88
636928394075145446;07.05.2019 17:23:27;710,9375;88
636928394075145446;07.05.2019 17:23:27;746,0938;88
636928394080162720;07.05.2019 17:23:28;742,1875;87
636928394095054120;07.05.2019 17:23:29;698,2422;86
636928394095054120;07.05.2019 17:23:29;687,5;86
636928394105075079;07.05.2019 17:23:30;685,5469;86
636928394110085798;07.05.2019 17:23:31;676,7578;86
636928394110085798;07.05.2019 17:23:31;663,0859;86
636928394120100920;07.05.2019 17:23:32;655,2734;87
636928394130099853;07.05.2019 17:23:33;665,0391;87
636928394155741108;07.05.2019 17:23:35;680,6641;88
636928394155741108;07.05.2019 17:23:35;699,2188;88
636928394160128312;07.05.2019 17:23:36;704,1016;88
636928394160128312;07.05.2019 17:23:36;696,2891;87
636928394160128312;07.05.2019 17:23:36;707,0313;87
636928394170000279;07.05.2019 17:23:37;705,0781;87
636928394185044877;07.05.2019 17:23:38;692,3828;87
636928394185044877;07.05.2019 17:23:38;654,2969;87
636928394190067942;07.05.2019 17:23:39;644,5313;87
636928394200105051;07.05.2019 17:23:40;643,5547;88
636928394200105051;07.05.2019 17:23:40;657,2266;88
636928394215140129;07.05.2019 17:23:41;695,3125;89
636928394220139868;07.05.2019 17:23:42;705,0781;89
636928394220139868;07.05.2019 17:23:42;687,5;89
636928394229999329;07.05.2019 17:23:42;695,3125;88
636928394245092600;07.05.2019 17:23:44;686,5234;88
636928394245092600;07.05.2019 17:23:44;669,9219;88
636928394250109445;07.05.2019 17:23:45;644,5313;88
636928394260143282;07.05.2019 17:23:46;628,9063;89
636928394260143282;07.05.2019 17:23:46;634,7656;89
636928394275005707;07.05.2019 17:23:47;654,2969;90
636928394285171716;07.05.2019 17:23:48;687,5;90
636928394285171716;07.05.2019 17:23:48;691,4063;90
636928394290170539;07.05.2019 17:23:49;685,5469;90
636928394300014445;07.05.2019 17:23:50;685,5469;89
636928394300014445;07.05.2019 17:23:50;682,6172;89
636928394315184483;07.05.2019 17:23:51;672,8516;89
636928394330036770;07.05.2019 17:23:53;644,5313;89
636928394330036770;07.05.2019 17:23:53;634,7656;89
636928394340039231;07.05.2019 17:23:54;631,8359;90
636928394345201827;07.05.2019 17:23:54;641,6016;91
636928394345201827;07.05.2019 17:23:54;645,5078;91
636928394360059226;07.05.2019 17:23:56;654,2969;91
636928394370067817;07.05.2019 17:23:57;680,6641;91
636928394370067817;07.05.2019 17:23:57;699,2188;91
636928394375069854;07.05.2019 17:23:57;699,2188;91
636928394385067931;07.05.2019 17:23:58;682,6172;89
636928394385067931;07.05.2019 17:23:58;681,6406;89
636928394390079850;07.05.2019 17:23:59;673,8281;89
636928394400082432;07.05.2019 17:24:00;641,6016;89
636928394400082432;07.05.2019 17:24:00;640,625;89
636928394410093636;07.05.2019 17:24:01;644,5313;90
636928394420103965;07.05.2019 17:24:02;651,3672;91
636928394420103965;07.05.2019 17:24:02;646,4844;91
636928394430108921;07.05.2019 17:24:03;640,625;91
636928394440112711;07.05.2019 17:24:04;664,0625;91
636928394440112711;07.05.2019 17:24:04;686,5234;91
636928394460137743;07.05.2019 17:24:06;699,2188;91
636928394460137743;07.05.2019 17:24:06;677,7344;90
636928394460137743;07.05.2019 17:24:06;679,6875;90
636928394475023776;07.05.2019 17:24:07;696,2891;90
636928394480041106;07.05.2019 17:24:08;705,0781;89
636928394480041106;07.05.2019 17:24:08;697,2656;89
636928394515752899;07.05.2019 17:24:11;699,2188;88
636928394515752899;07.05.2019 17:24:11;697,2656;88
636928394525145689;07.05.2019 17:24:12;692,3828;87
636928394525145689;07.05.2019 17:24:12;665,0391;87
636928394530000277;07.05.2019 17:24:13;649,4141;88
636928394530000277;07.05.2019 17:24:13;651,3672;88
636928394540005931;07.05.2019 17:24:14;654,2969;89
636928394545005909;07.05.2019 17:24:14;674,8047;89
636928394550015052;07.05.2019 17:24:15;688,4766;89
636928394550015052;07.05.2019 17:24:15;692,3828;89
636928394560181862;07.05.2019 17:24:16;708,0078;89
636928394570195005;07.05.2019 17:24:17;705,0781;88
636928394570195005;07.05.2019 17:24:17;724,6094;88
636928394585194449;07.05.2019 17:24:18;705,0781;87
636928394590037843;07.05.2019 17:24:19;696,2891;87
636928394590037843;07.05.2019 17:24:19;677,7344;87
636928394600202749;07.05.2019 17:24:20;663,0859;87
636928394610209928;07.05.2019 17:24:21;659,1797;88
636928394610209928;07.05.2019 17:24:21;646,4844;88
636928394620072228;07.05.2019 17:24:22;629,8828;88
636928394630088184;07.05.2019 17:24:23;648,4375;89
636928394645119181;07.05.2019 17:24:24;707,0313;90
636928394645119181;07.05.2019 17:24:24;793,9453;90
636928394650131501;07.05.2019 17:24:25;830,0781;88
636928394665167704;07.05.2019 17:24:26;816,4063;86
636928394675184627;07.05.2019 17:24:27;761,7188;83
636928394675184627;07.05.2019 17:24:27;732,4219;83
636928394690060600;07.05.2019 17:24:29;699,2188;83
636928394715821232;07.05.2019 17:24:31;675,7813;84
636928394715821232;07.05.2019 17:24:31;654,2969;84
636928394725060905;07.05.2019 17:24:32;654,2969;84
636928394730067230;07.05.2019 17:24:33;650,3906;87
636928394730067230;07.05.2019 17:24:33;661,1328;87
636928394730067230;07.05.2019 17:24:33;685,5469;87
636928394730067230;07.05.2019 17:24:33;735,3516;87
636928394740222861;07.05.2019 17:24:34;761,7188;86
636928394740222861;07.05.2019 17:24:34;751,9531;86
636928394755072222;07.05.2019 17:24:35;765,625;85
636928394760072912;07.05.2019 17:24:36;776,3672;84
636928394770070557;07.05.2019 17:24:37;745,1172;83
636928394770070557;07.05.2019 17:24:37;712,8906;83
636928394780070859;07.05.2019 17:24:38;714,8438;83
636928394790068504;07.05.2019 17:24:39;708,0078;83
636928394790068504;07.05.2019 17:24:39;721,6797;83
636928394800068732;07.05.2019 17:24:40;713,8672;83
636928394810067853;07.05.2019 17:24:41;710,9375;83
636928394820069142;07.05.2019 17:24:42;734,375;83
636928394820069142;07.05.2019 17:24:42;759,7656;83
636928394830222947;07.05.2019 17:24:43;743,1641;83
636928394840222398;07.05.2019 17:24:44;715,8203;83
636928394850067449;07.05.2019 17:24:45;704,1016;83
636928394850067449;07.05.2019 17:24:45;710,9375;83
636928394870066446;07.05.2019 17:24:47;726,5625;83
636928394880078537;07.05.2019 17:24:48;703,125;83
636928394880078537;07.05.2019 17:24:48;699,2188;83
636928394885088112;07.05.2019 17:24:48;744,1406;83
636928394900099549;07.05.2019 17:24:50;789,0625;83
636928394900099549;07.05.2019 17:24:50;853,5156;83
636928394910108858;07.05.2019 17:24:51;810,5469;82
636928394925120574;07.05.2019 17:24:52;801,7578;80
636928394925120574;07.05.2019 17:24:52;790,0391;80
636928394930128210;07.05.2019 17:24:53;765,625;80
636928394945135602;07.05.2019 17:24:54;743,1641;79
636928394945135602;07.05.2019 17:24:54;749,0234;79
636928394955126185;07.05.2019 17:24:55;765,625;79
636928394960137364;07.05.2019 17:24:56;733,3984;79
636928394970146728;07.05.2019 17:24:57;754,8828;80
636928394980150563;07.05.2019 17:24:58;761,7188;80
636928394980150563;07.05.2019 17:24:58;743,1641;80
636928394990165061;07.05.2019 17:24:59;746,0938;80
636928395000011971;07.05.2019 17:25:00;742,1875;80
636928395000011971;07.05.2019 17:25:00;732,4219;80
636928395010009838;07.05.2019 17:25:01;730,4688;80
636928395020173431;07.05.2019 17:25:02;747,0703;80
636928395030029077;07.05.2019 17:25:03;752,9297;80
636928395030029077;07.05.2019 17:25:03;731,4453;80
636928395050047484;07.05.2019 17:25:05;738,2813;80
636928395055054785;07.05.2019 17:25:05;765,625;80
636928395060214355;07.05.2019 17:25:06;808,5938;80
636928395070066199;07.05.2019 17:25:07;796,875;79
636928395070066199;07.05.2019 17:25:07;804,6875;79
636928395080228953;07.05.2019 17:25:08;792,9688;79
636928395095086826;07.05.2019 17:25:09;741,2109;79
636928395100092071;07.05.2019 17:25:10;748,0469;79
636928395100092071;07.05.2019 17:25:10;741,2109;79
636928395110113540;07.05.2019 17:25:11;729,4922;79
636928395120134480;07.05.2019 17:25:12;712,8906;79
636928395130148507;07.05.2019 17:25:13;752,9297;80
636928395130148507;07.05.2019 17:25:13;771,4844;80
636928395140010400;07.05.2019 17:25:14;793,9453;80
636928395150191118;07.05.2019 17:25:15;735,3516;79
636928395160215422;07.05.2019 17:25:16;695,3125;80
636928395160215422;07.05.2019 17:25:16;738,2813;80
636928395175077475;07.05.2019 17:25:17;821,2891;80
636928395180077858;07.05.2019 17:25:18;813,4766;80
636928395190092910;07.05.2019 17:25:19;783,2031;79
636928395190092910;07.05.2019 17:25:19;734,375;79
