UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636935142349273971;15.05.2019 12:50:34;606,4453;98
636935142349273971;15.05.2019 12:50:34;608,3984;98
636935142359596780;15.05.2019 12:50:35;627,9297;98
636935142359596780;15.05.2019 12:50:35;604,4922;98
636935142369760822;15.05.2019 12:50:36;589,8438;98
636935142379306556;15.05.2019 12:50:37;619,1406;98
636935142379306556;15.05.2019 12:50:37;625;98
636935142389462045;15.05.2019 12:50:38;600,5859;98
636935142389462045;15.05.2019 12:50:38;575,1953;98
636935142399774979;15.05.2019 12:50:39;589,8438;99
636935142409306683;15.05.2019 12:50:40;593,75;100
636935142409306683;15.05.2019 12:50:40;591,7969;100
636935142419467281;15.05.2019 12:50:41;566,4063;101
636935142419467281;15.05.2019 12:50:41;545,8984;101
636935142429788480;15.05.2019 12:50:42;542,9688;104
636935142429788480;15.05.2019 12:50:42;549,8047;104
636935142439344549;15.05.2019 12:50:43;551,7578;106
636935142439344549;15.05.2019 12:50:43;544,9219;106
636935142449506102;15.05.2019 12:50:44;557,6172;107
636935142459672870;15.05.2019 12:50:45;578,125;107
636935142459672870;15.05.2019 12:50:45;567,3828;107
636935142469371071;15.05.2019 12:50:46;557,6172;106
636935142469371071;15.05.2019 12:50:46;578,125;106
636935142479537681;15.05.2019 12:50:47;602,5391;106
636935142491132487;15.05.2019 12:50:49;610,3516;104
636935142491132487;15.05.2019 12:50:49;576,1719;104
636935142501143326;15.05.2019 12:50:50;569,3359;104
636935142501143326;15.05.2019 12:50:50;576,1719;104
636935142511198374;15.05.2019 12:50:51;588,8672;104
636935142511198374;15.05.2019 12:50:51;582,0313;104
636935142521055203;15.05.2019 12:50:52;585,9375;103
636935142531212770;15.05.2019 12:50:53;613,2813;103
636935142531212770;15.05.2019 12:50:53;620,1172;103
636935142541055441;15.05.2019 12:50:54;591,7969;101
636935142541055441;15.05.2019 12:50:54;568,3594;101
636935142561058491;15.05.2019 12:50:56;572,2656;102
636935142561213992;15.05.2019 12:50:56;595,7031;102
636935142561213992;15.05.2019 12:50:56;640,625;102
636935142571059264;15.05.2019 12:50:57;632,8125;101
636935142581245432;15.05.2019 12:50:58;604,4922;99
636935142581245432;15.05.2019 12:50:58;634,7656;99
636935142591125226;15.05.2019 12:50:59;651,3672;98
636935142591125226;15.05.2019 12:50:59;647,4609;98
636935142601149759;15.05.2019 12:51:00;604,4922;97
