UniversalTimestamp;LocalTimestamp;IBI;Heartrate
636921414318057055;29.04.2019 15:30:31;961,9141;63
636921414328060817;29.04.2019 15:30:32;941,4063;62
636921414328060817;29.04.2019 15:30:32;888,6719;62
636921414338058844;29.04.2019 15:30:33;891,6016;63
636921414348059066;29.04.2019 15:30:34;926,7578;63
636921414358125227;29.04.2019 15:30:35;909,1797;64
636921414368062502;29.04.2019 15:30:36;901,3672;64
636921414378125565;29.04.2019 15:30:37;898,4375;64
636921414388060889;29.04.2019 15:30:38;925,7813;64
636921414398127690;29.04.2019 15:30:39;900,3906;64
636921414408073393;29.04.2019 15:30:40;885,7422;65
636921414408073393;29.04.2019 15:30:40;830,0781;65
636921414418061906;29.04.2019 15:30:41;812,5;65
636921414428128496;29.04.2019 15:30:42;794,9219;66
636921414438128482;29.04.2019 15:30:43;800,7813;67
636921414448129009;29.04.2019 15:30:44;810,5469;68
636921414448129009;29.04.2019 15:30:44;829,1016;68
636921414458061823;29.04.2019 15:30:45;818,3594;69
636921414468129591;29.04.2019 15:30:46;821,2891;69
636921414478128571;29.04.2019 15:30:47;816,4063;70
636921414488061133;29.04.2019 15:30:48;806,6406;70
636921414488061133;29.04.2019 15:30:48;804,6875;70
636921414498064782;29.04.2019 15:30:49;823,2422;71
636921414508130425;29.04.2019 15:30:50;826,1719;71
636921414518065660;29.04.2019 15:30:51;837,8906;71
636921414528130854;29.04.2019 15:30:52;851,5625;71
636921414538065973;29.04.2019 15:30:53;854,4922;71
636921414548129857;29.04.2019 15:30:54;846,6797;71
636921414548129857;29.04.2019 15:30:54;814,4531;71
636921414558065771;29.04.2019 15:30:55;815,4297;71
636921414568063419;29.04.2019 15:30:56;819,3359;72
636921414578129402;29.04.2019 15:30:57;839,8438;72
636921414588131840;29.04.2019 15:30:58;863,2813;72
636921414598132697;29.04.2019 15:30:59;887,6953;72
636921414608131921;29.04.2019 15:31:00;882,8125;71
636921414608131921;29.04.2019 15:31:00;873,0469;71
636921414618067331;29.04.2019 15:31:01;878,9063;71
636921414628068336;29.04.2019 15:31:02;878,9063;70
636921414638066056;29.04.2019 15:31:03;870,1172;70
636921414648067173;29.04.2019 15:31:04;860,3516;70
636921414658065937;29.04.2019 15:31:05;849,6094;70
636921414668066644;29.04.2019 15:31:06;832,0313;70
636921414678133483;29.04.2019 15:31:07;848,6328;70
636921414678133483;29.04.2019 15:31:07;895,5078;70
636921414693133360;29.04.2019 15:31:09;928,7109;70
636921414698067029;29.04.2019 15:31:09;924,8047;70
636921414708067331;29.04.2019 15:31:10;908,2031;69
636921414718135459;29.04.2019 15:31:11;885,7422;69
636921414728135121;29.04.2019 15:31:12;874,0234;69
636921414738136210;29.04.2019 15:31:13;880,8594;69
636921414753070837;29.04.2019 15:31:15;871,0938;69
636921414753070837;29.04.2019 15:31:15;865,2344;69
636921414758070791;29.04.2019 15:31:15;879,8828;69
636921414768068871;29.04.2019 15:31:16;884,7656;69
636921414778067544;29.04.2019 15:31:17;896,4844;69
636921414788134290;29.04.2019 15:31:18;899,4141;68
636921414798070403;29.04.2019 15:31:19;865,2344;68
636921414808137625;29.04.2019 15:31:20;857,4219;68
636921414818071196;29.04.2019 15:31:21;857,4219;69
636921414818071196;29.04.2019 15:31:21;859,375;69
636921414828135353;29.04.2019 15:31:22;853,5156;69
636921414838071786;29.04.2019 15:31:23;818,3594;69
636921414848069569;29.04.2019 15:31:24;806,6406;69
636921414858138659;29.04.2019 15:31:25;795,8984;70
636921414858138659;29.04.2019 15:31:25;791,0156;70
636921414868070888;29.04.2019 15:31:26;806,6406;71
636921414878139412;29.04.2019 15:31:27;848,6328;71
